University Name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment
Bradley University,Illinois,IL,Private,Private,4 Year,10620,33760,44380,33760,55600,104900,10,245,282,5,144,69,4545,5300
Brandeis University,Massachusetts,MA,Private,Private,4 Year,15440,55395,70835,55395,60600,113200,6,275,323,3,582,118,4638,5945
Brescia University,Kentucky,KY,Private,Private,4 Year,9200,22400,31600,22400,44300,81200,9,133,63,2,3,0,846,1056
Brown University,Rhode Island,RI,Private,Private,4 Year,14670,55656,70326,55656,68200,127600,26,550,894,13,1099,376,6223,9181
Bryant University,Rhode Island,RI,Private,Private,4 Year,15702,43973,59675,43973,60500,108600,12,145,216,5,141,44,2899,3462
Bucknell University,Pennsylvania,PA,Private,Private,4 Year,13662,56092,69754,56092,66700,122900,1,114,187,0,126,124,3072,3624
Butler University,Indiana,IN,Private,Private,4 Year,13830,41120,54950,41120,51800,99300,8,182,146,0,119,91,4302,4848
California Institute of Technology,California,CA,Private,Private,4 Year,15525,52362,67887,52362,84100,151600,4,27,173,1,580,68,1356,2209
Calvin College,Michigan,MI,Private,Private,4 Year,10200,34600,44800,34600,50200,91100,16,94,129,0,173,111,3470,3993
Cameron University,Oklahoma,OK,Public,Public,4 Year,5452,6450,11902,15870,43900,81500,296,861,644,36,93,427,3180,5537
Campbell University,North Carolina,NC,Private,Private,4 Year,11430,32500,43930,32500,46300,82400,40,946,343,9,193,112,4458,6101
Campbellsville University,Kentucky,KY,Private,Private,4 Year,8000,25400,33400,25400,37600,66800,6,375,56,4,17,41,2928,3427
Cardinal Stritch University,Wisconsin,WI,Private,Private,4 Year,8440,29998,38438,29998,47000,82500,18,842,293,8,76,71,2503,3811
Carleton College,Minnesota,MN,Private,Private,4 Year,14085,54759,68844,54759,58800,109900,3,79,130,2,184,93,1566,2057
Carnegie Mellon University,Pennsylvania,PA,Private,Private,4 Year,14418,55465,69883,55465,75900,136100,9,402,574,2,2071,334,9195,12587
Carroll College,Montana,MT,Private,Private,4 Year,9880,35486,45366,35486,48200,91400,18,11,71,4,21,23,1292,1440
Carroll University,Wisconsin,WI,Private,Private,4 Year,9484,31918,41402,31918,45600,86500,2,37,190,3,116,68,3030,3446
Carson-Newman University,Tennessee,TN,Private,Private,4 Year,8810,27900,36710,27900,42700,76500,3,153,34,0,13,0,2159,2362
Carthage College,Wisconsin,WI,Private,Private,4 Year,11990,43550,55540,43550,48900,85400,12,153,126,7,33,71,2546,2948
Case Western Reserve University,Ohio,OH,Private,Private,4 Year,15190,49042,64232,49042,66600,117800,14,563,444,5,1543,269,7933,10771
Catawba College,North Carolina,NC,Private,Private,4 Year,10488,30520,41008,30520,42500,78100,12,265,48,0,15,28,932,1300
Centenary College of Louisiana,Louisiana,LA,Private,Private,4 Year,13400,36580,49980,36580,47000,88400,6,88,35,1,21,22,446,619
Central Baptist College,Arkansas,AR,Private,Private,4 Year,7500,16200,23700,16200,36900,68000,12,175,33,1,2,12,623,858
Central Christian College of Kansas,Kansas,KS,Private,Private,4 Year,8286,26674,34960,26674,37100,66100,19,210,107,5,11,17,796,1165
Central College,Iowa,IA,Private,Private,4 Year,10280,37295,47575,37295,49000,88800,5,26,44,2,15,14,1305,1411
Central Connecticut State University,Connecticut,CT,Public,Public,4 Year,12176,10616,22792,21856,53100,93700,23,1225,1359,11,429,290,8700,12037
Central Michigan University,Michigan,MI,Public,Public,4 Year,10076,12960,23036,12960,47700,83600,181,3016,901,24,317,604,21836,26879
Central Washington University,Washington,WA,Public,Public,4 Year,11115,8072,19187,23053,52700,93200,65,365,1430,137,532,710,8560,11799
Centre College,Kentucky,KY,Private,Private,4 Year,10480,41700,52180,41700,49500,88500,0,64,32,2,46,42,1201,1387
Chadron State College,Nebraska,NE,Public,Public,4 Year,7380,7196,14576,7196,42300,76700,36,116,180,11,25,83,2582,3033
Chaminade University of Honolulu,Hawaii,HI,Private,Private,4 Year,13630,25374,39004,25374,45400,84000,24,152,162,429,726,265,998,2756
Champlain College,Vermont,VT,Private,Private,4 Year,15354,41010,56364,41010,51100,88400,15,97,137,2,54,203,3077,3585
Charleston Southern University,South Carolina,SC,Private,Private,4 Year,10200,25500,35700,25500,42800,76300,18,926,108,4,41,67,2203,3367
Christian Brothers University,Tennessee,TN,Private,Private,4 Year,7400,32820,40220,32820,51500,96500,5,522,99,1,84,39,917,1667
Christopher Newport University,Virginia,VA,Public,Public,4 Year,11460,14754,26214,27220,50800,87200,15,414,258,5,125,251,4153,5221
Claremont McKenna College,California,CA,Private,Private,4 Year,16705,54405,71110,54405,68500,125400,1,54,154,1,142,101,871,1324
Clark Atlanta University,Georgia,GA,Private,Private,4 Year,9524,23436,32960,23436,46300,81100,14,2930,14,0,14,0,513,3485
Clark University,Massachusetts,MA,Private,Private,4 Year,9170,45730,54900,45730,52600,101400,3,121,169,2,179,59,2890,3423
Clarke University,Iowa,IA,Private,Private,4 Year,9600,33350,42950,33350,44900,80200,1,33,44,0,9,16,1097,1200
Clarkson College,Nebraska,NE,Private,Private,4 Year,5398,16920,22318,16920,50900,91500,7,53,36,2,29,19,1075,1221
Clarkson University,New York,NY,Private,Private,4 Year,14908,49444,64352,49444,66400,130100,10,77,170,1,122,73,3420,3873
Cleary University,Michigan,MI,Private,Private,4 Year,9600,20250,29850,20250,47400,84700,0,41,12,0,14,0,470,537
Clemson University,South Carolina,SC,Public,Public,4 Year,10832,14970,25802,36724,57500,106700,41,1347,593,14,389,465,19008,21857
Cleveland State University,Ohio,OH,Public,Public,4 Year,13560,10625,24185,14992,48300,88600,26,2927,731,18,504,435,12295,16936
Coastal Carolina University,South Carolina,SC,Public,Public,4 Year,9190,11536,20726,26648,44700,77600,40,1904,348,13,77,405,7189,9976
Coe College,Iowa,IA,Private,Private,4 Year,9480,45000,54480,45000,47200,86900,3,71,109,1,33,45,1174,1436
Colby College,Maine,ME,Private,Private,4 Year,14190,55210,69400,55210,59200,103300,3,56,113,0,103,98,1474,1847
Colby-Sawyer College,New Hampshire,NH,Private,Private,4 Year,14264,42398,56662,42398,46400,83700,3,88,41,1,21,7,1208,1369
Colgate University,New York,NY,Private,Private,4 Year,13995,55870,69865,55870,68400,130600,2,120,243,3,103,101,2316,2888
College for Creative Studies,Michigan,MI,Private,Private,4 Year,8800,44110,52910,44110,51200,89800,3,130,54,4,61,54,1153,1459
College of Charleston,South Carolina,SC,Public,Public,4 Year,12166,12738,24904,31920,47300,85100,21,823,478,13,181,401,9539,11456
College of Saint Mary,Nebraska,NE,Private,Private,4 Year,7700,20350,28050,20350,43900,77700,5,63,102,1,17,25,805,1018
College of the Holy Cross,Massachusetts,MA,Private,Private,4 Year,14520,52770,67290,52770,61800,114600,5,110,296,1,141,98,2136,2787
Colorado Christian University,Colorado,CO,Private,Private,4 Year,11846,31866,43712,31866,46800,80100,36,391,623,16,157,227,4337,5787
Colorado College,Colorado,CO,Private,Private,4 Year,12512,55470,67982,55470,53100,97900,9,48,184,0,94,173,1559,2067
Colorado Mesa University,Colorado,CO,Public,Public,4 Year,10925,9243,20168,22440,47800,81500,68,218,1389,55,126,313,6947,9116
Colorado School of Mines,Colorado,CO,Public,Public,4 Year,13169,18964,32133,38584,75600,139600,13,52,417,3,231,244,5002,5962
Columbia International University,South Carolina,SC,Private,Private,4 Year,8150,23690,31840,23690,36600,66200,3,198,28,0,34,20,820,1103
Columbus State University,Georgia,GA,Public,Public,4 Year,9880,7200,17080,20682,43300,77900,35,2921,430,20,176,182,4428,8192
Connecticut College,Connecticut,CT,Private,Private,4 Year,15150,54820,69970,54820,57500,100800,0,62,163,0,67,52,1556,1900
Converse College,South Carolina,SC,Private,Private,4 Year,10930,18690,29620,18690,39000,71000,0,100,56,0,4,38,1191,1389
Corban University,Oregon,OR,Private,Private,4 Year,10228,33040,43268,33040,42500,77300,10,18,34,7,24,72,960,1125
Cornell College,Iowa,IA,Private,Private,4 Year,9384,42299,51683,42299,49600,90600,4,55,140,3,26,46,812,1086
Cornell University,New York,NY,Private,Private,4 Year,14816,55188,70004,55188,70100,128200,64,1059,1994,15,3129,762,14656,21679
Cornish College of the Arts,Washington,WA,Private,Private,4 Year,12400,41642,54042,41642,49000,86400,6,29,76,2,43,63,548,767
Covenant College,Georgia,GA,Private,Private,4 Year,10260,34330,44590,34330,44400,79400,4,32,34,2,22,23,1056,1173
Creighton University,Nebraska,NE,Private,Private,4 Year,11036,39916,50952,39916,53500,95800,36,330,472,25,742,259,6372,8236
Cumberland University,Tennessee,TN,Private,Private,4 Year,9290,22890,32180,22890,45500,81000,5,181,37,0,14,0,1244,1481
Dakota State University,South Dakota,SD,Public,Public,4 Year,6873,9276,16149,12249,48400,84300,25,144,115,6,61,75,2621,3047
Dakota Wesleyan University,South Dakota,SD,Private,Private,4 Year,7350,27300,34650,27300,41800,75700,9,15,23,0,2,18,803,870
Dartmouth College,New Hampshire,NH,Private,Private,4 Year,15756,55453,71209,55453,71500,130900,102,341,446,7,775,245,4382,6298
Davidson College,North Carolina,NC,Private,Private,4 Year,14372,51447,65819,51447,57300,106900,11,114,117,0,102,71,1355,1770
Delaware State University,Delaware,DE,Public,Public,4 Year,12190,7868,20058,16904,46300,81900,12,2916,226,5,47,160,1031,4397
Delta State University,Mississippi,MS,Public,Public,4 Year,7722,7246,14968,7246,40800,74200,4,1325,45,5,24,23,2188,3614
Denison University,Ohio,OH,Private,Private,4 Year,12710,51960,64670,51960,54400,104800,1,158,229,2,84,80,1724,2278
DePaul University,Illinois,IL,Private,Private,4 Year,14235,39975,54210,39975,55700,102900,19,2123,3388,37,1777,795,15660,23799
DePauw University,Indiana,IN,Private,Private,4 Year,13020,49704,62724,49704,56600,101000,6,126,76,0,75,144,1788,2215
Dickinson College,Pennsylvania,PA,Private,Private,4 Year,13698,54661,68359,54661,55800,100100,1,97,142,1,55,80,1988,2364
Dickinson State University,North Dakota,ND,Public,Public,4 Year,6898,6765,13663,9544,46400,81200,14,60,66,4,9,38,1288,1479
Dillard University,Louisiana,LA,Private,Private,4 Year,10100,18099,28199,18099,44700,79800,0,1108,6,0,0,9,77,1200
Dordt College,Iowa,IA,Private,Private,4 Year,9590,30870,40460,30870,51000,89600,3,22,12,103,13,0,1306,1459
Drake University,Iowa,IA,Private,Private,4 Year,10528,41396,51924,41396,52800,99900,10,160,163,1,200,79,4449,5062
Drew University,New Jersey,NJ,Private,Private,4 Year,14108,39500,53608,39500,52800,95000,4,249,204,2,105,52,1497,2113
Drexel University,Pennsylvania,PA,Private,Private,4 Year,14079,53279,67358,53279,61700,114800,40,2055,1424,108,3083,691,18958,26359
Drury University,Missouri,MO,Private,Private,4 Year,8096,28365,36461,28365,42600,79400,41,159,206,7,48,84,3670,4215
Duke University,North Carolina,NC,Private,Private,4 Year,15178,55695,70873,55695,71100,132100,66,1156,797,20,2268,369,11180,15856
East Carolina University,North Carolina,NC,Public,Public,4 Year,9606,7188,16794,23465,48400,85400,181,4359,1498,26,782,788,19877,27511
East Tennessee State University,Tennessee,TN,Public,Public,4 Year,8472,9277,17749,28459,43700,77300,38,860,290,9,232,341,12664,14434
Eastern Connecticut State University,Connecticut,CT,Public,Public,4 Year,13560,11356,24916,22596,49200,87800,16,346,482,6,151,137,4149,5287
Eastern Kentucky University,Kentucky,KY,Public,Public,4 Year,9018,9296,18314,19074,45600,80700,49,967,333,19,142,357,14438,16305
Eastern Michigan University,Michigan,MI,Public,Public,4 Year,9854,13959,23813,13959,47300,86700,52,4059,830,15,565,704,16176,22401
Eastern Oregon University,Oregon,OR,Public,Public,4 Year,10040,8679,18719,20739,44000,73900,83,99,229,36,77,47,3082,3653
Eastern Washington University,Washington,WA,Public,Public,4 Year,12793,7323,20116,24444,49500,87500,167,432,1772,37,395,604,10046,13453
Eckerd College,Florida,FL,Private,Private,4 Year,12588,44540,57128,44540,49200,88400,7,101,163,4,35,60,1713,2083
Edgewood College,Wisconsin,WI,Private,Private,4 Year,11020,29500,40520,29500,49500,87500,11,82,152,4,73,66,2592,2980
Elon University,North Carolina,NC,Private,Private,4 Year,12230,35319,47549,35319,53600,93700,29,391,316,3,146,110,5488,6483
Emory University,Georgia,GA,Private,Private,4 Year,14456,51306,65762,51306,62000,110800,26,1474,874,8,2281,338,9768,14769
Emporia State University,Kansas,KS,Public,Public,4 Year,8912,6758,15670,20675,43500,78000,29,272,339,7,52,286,5129,6114
Erskine College,South Carolina,SC,Private,Private,4 Year,10900,34560,45460,34560,43500,78000,3,125,22,0,6,0,597,753
Fairfield University,Connecticut,CT,Private,Private,4 Year,14710,48350,63060,48350,62300,116900,3,137,352,5,113,67,4446,5123
Fairmont State University,West Virginia,WV,Public,Public,4 Year,9004,7514,16518,16324,42900,74100,15,214,76,3,18,96,3613,4035
Faulkner University,Alabama,AL,Private,Private,4 Year,7750,21690,29440,21690,39400,71300,24,1505,71,3,19,52,1661,3335
Felician University,New Jersey,NJ,Private,Private,4 Year,12880,34315,47195,34315,53200,98200,10,382,486,11,134,12,918,1953
