University Name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment
James Madison University,Virginia,VA,Public,Public,4 Year,10092,12016,22108,28416,57400,102600,31,863,1043,39,889,709,17281,20855
Jefferson College of Health Sciences,Virginia,VA,Private,Private,4 Year,5870,26886,32756,26886,55500,97600,1,82,40,0,28,14,966,1131
John Brown University,Arkansas,AR,Private,Private,4 Year,9224,26928,36152,26928,47000,82700,51,108,152,3,34,103,2399,2850
John Carroll University,Ohio,OH,Private,Private,4 Year,11874,41340,53214,41340,51600,97300,2,186,110,0,62,77,3251,3688
Johns Hopkins University,Maryland,MD,Private,Private,4 Year,15836,54240,70076,54240,67200,117100,35,1419,1498,27,2919,690,14784,21372
Kalamazoo College,Michigan,MI,Private,Private,4 Year,9756,48516,58272,48516,51600,94500,2,76,135,3,86,70,1089,1461
Kansas State University,Kansas,KS,Public,Public,4 Year,9680,10263,19943,25767,52500,97200,94,954,1419,36,381,695,21187,24766
Kansas Wesleyan University,Kansas,KS,Private,Private,4 Year,9500,29500,39000,29500,44700,79400,4,43,89,2,8,14,550,710
Kean University,New Jersey,NJ,Public,Public,4 Year,14470,12348,26818,19383,48200,90000,19,2802,3443,48,802,244,7001,14359
Keene State College,New Hampshire,NH,Public,Public,4 Year,11026,14212,25238,23176,48900,83600,14,48,156,2,56,97,4584,4957
Kennesaw State University,Georgia,GA,Public,Public,4 Year,11467,7432,18899,21158,52500,94600,60,4845,1862,39,861,1018,17029,25714
Kentucky Christian University,Kentucky,KY,Private,Private,4 Year,8270,19820,28090,19820,39600,70300,2,56,8,0,4,7,581,658
Kentucky State University,Kentucky,KY,Public,Public,4 Year,6690,8090,14780,19390,40700,73100,3,1007,33,4,10,40,798,1895
Kentucky Wesleyan College,Kentucky,KY,Private,Private,4 Year,9764,26440,36204,26440,42100,76800,1,102,12,0,3,0,591,709
Kenyon College,Ohio,OH,Private,Private,4 Year,12510,55930,68440,55930,55000,103800,9,58,100,0,87,59,1349,1662
Kettering College,Ohio,OH,Private,Private,4 Year,4100,16200,20300,16200,54300,95800,2,35,25,1,35,15,647,760
Kettering University,Michigan,MI,Private,Private,4 Year,8240,43490,51730,43490,69900,125000,4,91,71,2,61,48,1802,2079
Knox College,Illinois,IL,Private,Private,4 Year,9870,46554,56424,46554,50600,95400,3,110,175,0,77,56,978,1399
La Salle University,Pennsylvania,PA,Private,Private,4 Year,15080,30560,45640,30560,55800,104800,16,1078,462,7,286,349,4044,6242
Lafayette College,Pennsylvania,PA,Private,Private,4 Year,15640,52880,68520,52880,66500,122500,3,118,166,1,81,53,2081,2503
Lake Forest College,Illinois,IL,Private,Private,4 Year,10390,47064,57454,47064,55400,102600,4,108,243,0,81,57,1133,1626
Lake Superior State University,Michigan,MI,Public,Public,4 Year,9882,12090,21972,12090,45900,83500,208,80,58,0,13,0,2048,2407
Lamar University,Texas,TX,Public,Public,4 Year,8920,10192,19112,22642,53300,101200,55,3532,2070,10,478,258,8492,14895
Lander University,South Carolina,SC,Public,Public,4 Year,9100,11700,20800,21300,42600,77100,4,858,36,2,42,55,1790,2787
Langston University,Oklahoma,OK,Public,Public,4 Year,9476,5950,15426,13300,46500,81500,37,1969,31,0,0,0,445,2482
Lawrence Technological University,Michigan,MI,Private,Private,4 Year,9950,33570,43520,33570,57900,108400,13,234,100,1,925,0,2742,4015
Lawrence University,Wisconsin,WI,Private,Private,4 Year,10341,47475,57816,47475,51500,98800,8,51,100,0,60,59,1233,1511
Lehigh University,Pennsylvania,PA,Private,Private,4 Year,13600,52930,66530,52930,69500,134100,7,239,475,1,479,139,5779,7119
Lenoir-Rhyne University,North Carolina,NC,Private,Private,4 Year,12510,36400,48910,36400,46400,86300,12,266,60,1,30,52,1629,2050
LeTourneau University,Texas,TX,Private,Private,4 Year,9970,30210,40180,30210,56600,98900,10,278,227,2,28,99,2023,2667
Lewis & Clark College,Oregon,OR,Private,Private,4 Year,12490,50934,63424,50934,50000,93200,55,74,287,10,226,28,2824,3504
Lewis University,Illinois,IL,Private,Private,4 Year,10578,32450,43028,32450,49700,89800,8,610,1043,14,204,149,4661,6689
Lewis-Clark State College,Idaho,ID,Public,Public,4 Year,7580,6618,14198,19236,44900,77600,99,33,215,13,39,102,3803,4304
Limestone College,South Carolina,SC,Private,Private,4 Year,9765,26000,35765,26000,42100,76500,9,1521,92,1,11,13,1567,3214
Lindenwood University,Missouri,MO,Private,Private,4 Year,9000,17600,26600,17600,45100,78500,46,2019,374,21,58,307,9326,12151
Lindsey Wilson College,Kentucky,KY,Private,Private,4 Year,9385,24850,34235,24850,35300,64100,12,253,26,1,17,33,2299,2641
Lipscomb University,Tennessee,TN,Private,Private,4 Year,12652,32144,44796,32144,49000,84800,4,371,225,4,119,66,3700,4489
Longwood University,Virginia,VA,Public,Public,4 Year,11746,13340,25086,29300,47300,83300,15,415,229,6,73,164,4194,5096
Loras College,Iowa,IA,Private,Private,4 Year,8275,34184,42459,34184,48000,90100,1,39,89,2,13,22,1403,1569
Louisiana College,Louisiana,LA,Private,Private,4 Year,5618,17000,22618,17000,44800,79800,10,280,40,1,12,12,901,1256
Louisiana Tech University,Louisiana,LA,Public,Public,4 Year,6495,9645,16140,18558,53100,100700,43,1441,123,16,131,190,9281,11225
Loyola Marymount University,California,CA,Private,Private,4 Year,14490,48522,63012,48522,58500,113300,18,585,2190,8,1054,616,5044,9515
Loyola University Chicago,Illinois,IL,Private,Private,4 Year,14480,44048,58528,44048,53400,96000,15,920,1793,33,1449,721,10971,15902
Loyola University Maryland,Maryland,MD,Private,Private,4 Year,14430,49085,63515,49085,59900,111200,12,465,470,5,190,135,4690,5967
Loyola University New Orleans,Louisiana,LA,Private,Private,4 Year,13380,39692,53072,39692,47900,88600,32,655,541,3,143,133,2823,4330
Luther College,Iowa,IA,Private,Private,4 Year,9460,42290,51750,42290,48200,85900,8,34,80,0,39,49,2175,2385
Lyndon State College,Vermont,VT,Public,Public,4 Year,10598,12074,22672,25394,41500,75100,13,49,48,1,11,28,1280,1430
Lyon College,Arkansas,AR,Private,Private,4 Year,9130,28790,37920,28790,41200,74300,10,47,44,0,11,0,600,712
Macalester College,Minnesota,MN,Private,Private,4 Year,12156,54344,66500,54344,53600,100400,1,49,123,1,146,111,1642,2073
Maharishi University of Management,Iowa,IA,Private,Private,4 Year,7400,16530,23930,16530,46800,85200,3,94,43,0,25,22,1267,1454
Maine College of Art,Maine,ME,Private,Private,4 Year,11890,35000,46890,35000,36300,64600,0,7,27,0,10,22,393,459
Maine Maritime Academy,Maine,ME,Public,Public,4 Year,10310,13478,23788,27098,67000,121800,3,6,8,2,7,0,1034,1060
Manchester University,Indiana,IN,Private,Private,4 Year,9580,32758,42338,32758,46900,84700,2,86,67,0,61,43,1229,1488
Manhattan Christian College,Kansas,KS,Private,Private,4 Year,9092,15850,24942,15850,39400,72200,5,8,9,0,1,3,285,311
Manhattan College,New York,NY,Private,Private,4 Year,16200,43480,59680,43480,64000,125700,7,138,701,0,151,72,2901,3970
Marietta College,Ohio,OH,Private,Private,4 Year,11320,36040,47360,36040,51200,94300,2,69,38,0,20,32,1339,1500
Marquette University,Wisconsin,WI,Private,Private,4 Year,12720,41870,54590,41870,57800,105900,29,463,950,11,527,329,9436,11745
Marshall University,West Virginia,WV,Public,Public,4 Year,10450,8128,18578,18614,45000,79700,47,738,231,10,157,268,11930,13381
Maryland Institute College of Art,Maryland,MD,Private,Private,4 Year,13280,48630,61910,48630,49000,84500,3,137,140,3,259,116,1604,2262
Marymount University,Virginia,VA,Private,Private,4 Year,13190,31466,44656,31466,52300,93100,17,500,451,17,274,109,2073,3441
Maryville College,Tennessee,TN,Private,Private,4 Year,11424,34880,46304,34880,42800,75300,9,135,34,2,14,32,987,1213
Maryville University of Saint Louis,Missouri,MO,Private,Private,4 Year,10088,28470,38558,28470,46800,80100,39,577,219,13,164,142,4777,5931
Massachusetts Institute of Technology,Massachusetts,MA,Private,Private,4 Year,15510,51832,67342,51832,86300,155200,18,344,1087,1,1832,415,7622,11319
Massachusetts Maritime Academy,Massachusetts,MA,Public,Public,4 Year,12675,9724,22399,26102,67900,117500,18,33,42,1,38,10,1355,1497
Mayville State University,North Dakota,ND,Public,Public,4 Year,7840,6666,14506,9399,43700,81300,19,70,51,5,2,32,902,1081
McDaniel College,Maryland,MD,Private,Private,4 Year,11430,43260,54690,43260,51100,94600,15,336,133,3,89,0,2630,3206
McNeese State University,Louisiana,LA,Public,Public,4 Year,8704,7859,16563,18934,50200,88200,53,1421,211,6,121,172,6253,8237
McPherson College,Kansas,KS,Private,Private,4 Year,8788,28951,37739,28951,44500,80900,2,82,74,4,4,18,475,659
MCPHS University,Massachusetts,MA,Private,Private,4 Year,16400,32705,49105,32705,65900,121800,7,330,184,8,1469,24,4913,6935
Menlo College,California,CA,Private,Private,4 Year,14225,42800,57025,42800,61900,112400,6,55,166,21,56,55,435,794
Mercer University,Georgia,GA,Private,Private,4 Year,11616,36894,48510,36894,48500,85100,45,2550,330,12,566,144,4905,8552
Merrimack College,Massachusetts,MA,Private,Private,4 Year,15845,41760,57605,41760,56000,102500,3,99,177,0,45,47,2966,3337
Methodist University,North Carolina,NC,Private,Private,4 Year,12890,33846,46736,33846,45800,80500,20,454,186,5,37,83,1676,2461
Michigan State University,Michigan,MI,Public,Public,4 Year,10322,14460,24782,39765,55300,100800,127,3196,1878,46,2214,1217,41403,50081
Michigan Technological University,Michigan,MI,Public,Public,4 Year,10756,15646,26402,33726,65000,116300,33,95,117,8,82,156,6608,7099
Mid-America Christian University,Oklahoma,OK,Private,Private,4 Year,8036,18334,26370,18334,40700,74100,105,743,180,10,14,100,1536,2688
MidAmerica Nazarene University,Kansas,KS,Private,Private,4 Year,8708,30736,39444,30736,46200,78500,13,203,104,11,28,23,1488,1870
Middle Tennessee State University,Tennessee,TN,Public,Public,4 Year,9436,9206,18642,28364,46500,81100,71,4407,917,22,589,647,16076,22729
Middlebury College,Vermont,VT,Private,Private,4 Year,15530,54450,69980,54450,60400,109800,7,73,220,0,170,118,1945,2533
Midland University,Nebraska,NE,Private,Private,4 Year,8776,32558,41334,32558,43800,78100,5,68,38,6,10,92,1143,1362
Miles College,Alabama,AL,Private,Private,4 Year,7042,11604,18646,11604,34800,65100,0,1732,5,1,0,10,34,1782
Milligan College,Tennessee,TN,Private,Private,4 Year,7100,33700,40800,33700,41200,74900,3,46,52,2,15,19,1027,1164
Millsaps College,Mississippi,MS,Private,Private,4 Year,13730,39910,53640,39910,49300,88700,6,89,18,0,35,6,688,842
Milwaukee School of Engineering,Wisconsin,WI,Private,Private,4 Year,10389,40749,51138,40749,65700,117600,6,72,125,13,86,41,2467,2810
Minneapolis College of Art and Design,Minnesota,MN,Private,Private,4 Year,5610,39210,44820,39210,47400,84700,7,31,48,0,57,0,640,783
Minot State University,North Dakota,ND,Public,Public,4 Year,6610,7064,13674,7064,44500,74100,52,167,167,13,46,100,2865,3410
Mississippi College,Mississippi,MS,Private,Private,4 Year,10300,18026,28326,18026,45200,79500,26,1164,124,5,118,52,3495,4984
Mississippi State University,Mississippi,MS,Public,Public,4 Year,10090,8760,18850,23360,51100,94100,104,3871,457,17,263,273,15153,20138
Mississippi University for Women,Mississippi,MS,Public,Public,4 Year,7424,7040,14464,7040,39500,69500,6,987,20,2,41,12,1628,2696
Mississippi Valley State University,Mississippi,MS,Public,Public,4 Year,8043,6570,14613,6570,32500,61900,1,2033,25,0,13,0,150,2222
Missouri University of Science and Technology,Missouri,MO,Public,Public,4 Year,10274,10169,20443,28499,67300,122600,30,290,256,14,226,167,7657,8640
Monmouth University,New Jersey,NJ,Private,Private,4 Year,13981,38138,52119,38138,52200,93200,8,351,585,7,215,127,5102,6395
Montana Tech of the University of Montana,Montana,MT,Public,Public,4 Year,9656,7411,17067,22574,61200,112600,35,23,34,0,20,1,1972,2085
Montclair State University,New Jersey,NJ,Public,Public,4 Year,15564,12790,28354,20578,50800,95400,13,1946,4447,38,1015,637,11926,20022
Morehead State University,Kentucky,KY,Public,Public,4 Year,9960,9170,19130,13646,41300,74900,20,409,162,12,41,142,10266,11052
Morehouse College,Georgia,GA,Private,Private,4 Year,13438,27574,41012,27574,55700,98700,1,1988,13,0,1,4,102,2109
Morningside College,Iowa,IA,Private,Private,4 Year,9610,31530,41140,31530,44900,82100,10,29,87,5,14,29,2649,2823
Mount Carmel College of Nursing,Ohio,OH,Private,Private,4 Year,5000,13907,18907,13907,56600,99700,4,64,20,2,15,24,955,1084
Mount Marty College,South Dakota,SD,Private,Private,4 Year,7986,27276,35262,27276,41400,76500,29,34,64,5,13,0,1091,1236
Mount Mercy University,Iowa,IA,Private,Private,4 Year,9534,31798,41332,31798,47200,79000,6,74,24,2,25,25,1606,1762
Muhlenberg College,Pennsylvania,PA,Private,Private,4 Year,11765,52595,64360,52595,53400,101900,4,74,155,0,64,36,2107,2440
Multnomah University,Oregon,OR,Private,Private,4 Year,8870,25900,34770,25900,40500,76400,6,28,46,4,9,30,630,753
Murray State University,Kentucky,KY,Public,Public,4 Year,9190,9084,18274,24540,44800,79900,22,776,196,6,99,171,9937,11207
Nebraska Wesleyan University,Nebraska,NE,Private,Private,4 Year,9622,34202,43824,34202,45700,80500,6,60,92,2,38,30,1855,2083
New College of Florida,Florida,FL,Public,Public,4 Year,9264,6919,16183,29944,47300,86500,1,22,127,0,20,38,626,834
New England College,New Hampshire,NH,Private,Private,4 Year,14222,37914,52136,37914,45700,86400,11,411,148,0,48,20,1761,2399
New England Institute of Technology,Rhode Island,RI,Private,Private,4 Year,13065,29940,43005,29940,51700,93200,19,133,283,2,51,29,2405,2922
New Jersey City University,New Jersey,NJ,Public,Public,4 Year,12738,12051,24789,21573,48700,87600,19,1624,2623,0,660,98,3112,8136
New Jersey Institute of Technology,New Jersey,NJ,Public,Public,4 Year,13600,17338,30938,32750,64600,121300,6,899,1749,3,1901,267,5821,10646
New Mexico Highlands University,New Mexico,NM,Public,Public,4 Year,7872,6150,14022,10302,40400,73800,233,163,1891,18,29,43,1169,3546
New Mexico Institute of Mining and Technology,New Mexico,NM,Public,Public,4 Year,8510,7770,16280,22268,64700,120400,54,46,522,2,67,71,1365,2127
New York University,New York,NY,Private,Private,4 Year,18156,51828,69984,51828,63100,117700,94,2374,4267,45,7314,1248,33932,49274
Newberry College,South Carolina,SC,Private,Private,4 Year,10666,26424,37090,26424,41200,74700,4,283,48,1,7,32,718,1093
Newman University,Kansas,KS,Private,Private,4 Year,8326,30724,39050,30724,48000,88500,45,140,362,7,180,93,2860,3687
Nicholls State University,Louisiana,LA,Public,Public,4 Year,9938,7982,17920,9075,44500,84300,117,1242,197,4,70,176,4486,6292
North Carolina Wesleyan College,North Carolina,NC,Private,Private,4 Year,10800,31000,41800,31000,45300,78800,18,895,38,0,11,32,878,1872
North Central College,Illinois,IL,Private,Private,4 Year,11019,38880,49899,38880,50400,92900,3,118,276,2,66,79,2499,3043
Northeastern State University,Oklahoma,OK,Public,Public,4 Year,7638,6650,14288,14720,44500,77600,1754,360,338,9,167,1138,4544,8310
Northeastern University,Massachusetts,MA,Private,Private,4 Year,16880,51387,68267,51387,62500,109700,10,624,1103,7,1753,597,15704,19798
Northern Arizona University,Arizona,AZ,Public,Public,4 Year,10282,11564,21846,25828,49600,90000,838,888,5368,62,468,1337,18744,27705
Northern Illinois University,Illinois,IL,Public,Public,4 Year,10880,12262,23142,12262,53000,95500,30,2825,2531,22,984,569,13650,20611
Northern Kentucky University,Kentucky,KY,Public,Public,4 Year,10022,10032,20054,19680,49000,87400,55,996,379,17,166,252,13225,15090
Northern State University,South Dakota,SD,Public,Public,4 Year,8029,8498,16527,11471,42300,77700,55,49,79,6,31,52,3259,3531
Northwest Christian University,Oregon,OR,Private,Private,4 Year,9300,30050,39350,30050,45200,81100,18,16,57,3,15,24,572,705
Northwest Missouri State University,Missouri,MO,Public,Public,4 Year,10016,9805,19821,16457,46900,85100,20,374,182,8,39,167,5930,6720
Northwest Nazarene University,Idaho,ID,Private,Private,4 Year,7400,29300,36700,29300,46200,80600,14,37,175,9,27,44,1943,2249
Northwestern Oklahoma State University,Oklahoma,OK,Public,Public,4 Year,4780,7036,11816,14153,42200,76800,137,136,150,10,15,11,1707,2166
Northwestern University,Illinois,IL,Private,Private,4 Year,16626,54567,71193,54567,63400,115400,22,1058,1662,12,2865,702,15233,21554
Norwich University,Vermont,VT,Private,Private,4 Year,13840,40016,53856,40016,57000,99100,14,200,249,12,85,144,2968,3672
Notre Dame of Maryland University,Maryland,MD,Private,Private,4 Year,11850,36900,48750,36900,48300,86400,22,631,113,6,188,0,1804,2764
Nova Southeastern University,Florida,FL,Private,Private,4 Year,13250,30900,44150,30900,50200,89800,42,5374,6150,13,1491,428,10650,24148
Oakland University,Michigan,MI,Public,Public,4 Year,10100,12606,22706,24230,51300,93300,79,1601,565,17,955,492,16810,20519
Oakwood University,Alabama,AL,Private,Private,4 Year,9312,16720,26032,16720,43500,78800,11,1629,47,0,9,0,243,1939
Oberlin College,Ohio,OH,Private,Private,4 Year,16338,55054,71392,55054,53100,96800,3,154,215,2,124,168,2312,2978
Oglethorpe University,Georgia,GA,Private,Private,4 Year,13200,38100,51300,38100,52400,91400,3,202,113,0,43,29,704,1094
Ohio Northern University,Ohio,OH,Private,Private,4 Year,11650,32260,43910,32260,54400,103900,4,113,40,3,56,105,3374,3695
Ohio Wesleyan University,Ohio,OH,Private,Private,4 Year,12430,45760,58190,45760,51300,99200,1,116,72,0,40,79,1426,1734
Oklahoma Baptist University,Oklahoma,OK,Private,Private,4 Year,7350,28258,35608,28258,43900,76600,107,118,45,5,17,159,1528,1979
Oklahoma Christian University,Oklahoma,OK,Private,Private,4 Year,8190,22760,30950,22760,49700,87900,48,308,142,1,203,153,1620,2475
Oklahoma City University,Oklahoma,OK,Private,Private,4 Year,8896,31026,39922,31026,47700,87900,87,162,203,1,74,200,2308,3035
Oklahoma Panhandle State University,Oklahoma,OK,Public,Public,4 Year,4695,8194,12889,9133,42300,74400,43,135,211,0,17,34,858,1298
Oklahoma Wesleyan University,Oklahoma,OK,Private,Private,4 Year,8644,26956,35600,26956,43300,78700,97,88,96,3,5,55,1001,1345
Old Dominion University,Virginia,VA,Public,Public,4 Year,11620,10872,22492,29772,50200,89900,89,5980,1578,98,995,1319,14873,24932
Oral Roberts University,Oklahoma,OK,Private,Private,4 Year,9450,27728,37178,27728,45900,85100,113,565,273,0,80,154,2296,3481
Oregon Institute of Technology,Oregon,OR,Public,Public,4 Year,9058,9987,19045,28056,61200,106800,49,58,357,27,232,214,3323,4260
Oregon State University,Oregon,OR,Public,Public,4 Year,12855,11166,24021,30141,56200,104800,172,395,2101,98,1901,1653,22566,28886
Ouachita Baptist University,Arkansas,AR,Private,Private,4 Year,7880,26790,34670,26790,44100,80200,11,129,58,1,13,0,1289,1501
Pacific Lutheran University,Washington,WA,Private,Private,4 Year,10790,42066,52856,42066,54500,98100,28,95,249,24,218,233,2395,3242
Pacific Northwest College of Art,Oregon,OR,Private,Private,4 Year,12860,38250,51110,38250,46300,85000,7,5,27,1,12,62,405,519
Pacific University,Oregon,OR,Private,Private,4 Year,12528,44298,56826,44298,50200,94000,24,58,288,56,507,267,2440,3640
Park University,Missouri,MO,Private,Private,4 Year,8200,12650,20850,12650,48500,85000,80,2014,1337,48,267,307,6739,10792
Peru State College,Nebraska,NE,Public,Public,4 Year,8010,7452,15462,7482,42600,74800,15,182,130,7,31,68,2066,2499
Pfeiffer University,North Carolina,NC,Private,Private,4 Year,11226,30234,41460,30234,44200,78000,6,460,57,1,24,20,1216,1784
Philander Smith College,Arkansas,AR,Private,Private,4 Year,8250,12414,20664,12414,34600,61200,1,512,2,1,3,11,37,567
Pittsburg State University,Kansas,KS,Public,Public,4 Year,7778,7298,15076,18642,47100,84900,104,273,312,10,56,333,6391,7479
Plymouth State University,New Hampshire,NH,Public,Public,4 Year,11100,14099,25199,22769,47000,82200,13,101,122,0,100,61,4458,4855
Pomona College,California,CA,Private,Private,4 Year,16716,52780,69496,52780,63800,117200,4,109,232,2,213,122,968,1650
Portland State University,Oregon,OR,Public,Public,4 Year,10428,9105,19533,27060,50800,90500,376,886,2664,164,2024,1314,20268,27696
Prairie View A&M University,Texas,TX,Public,Public,4 Year,8925,10533,19458,24843,57800,99400,25,7087,229,8,243,58,779,8429
Presbyterian College,South Carolina,SC,Private,Private,4 Year,10480,38660,49140,38660,48800,89900,4,199,28,1,45,23,1160,1460
Prescott College,Arizona,AZ,Private,Private,4 Year,7700,31485,39185,31485,41200,73500,22,24,21,2,12,39,728,848
Princeton University,New Jersey,NJ,Private,Private,4 Year,16290,49330,65620,49330,75200,139400,10,474,571,7,1282,281,5463,8088
Providence College,Rhode Island,RI,Private,Private,4 Year,14700,50390,65090,50390,58900,106900,8,189,318,9,51,77,3881,4533
Queens University of Charlotte,North Carolina,NC,Private,Private,4 Year,10860,34684,45544,34684,49400,86600,9,385,120,1,54,27,1652,2248
Quinnipiac University,Connecticut,CT,Private,Private,4 Year,14540,47960,62500,47960,55900,97700,20,463,694,6,291,140,7421,9035
Radford University,Virginia,VA,Public,Public,4 Year,9406,11210,20616,22845,48900,82900,27,1101,499,20,143,435,7573,9798
Ramapo College of New Jersey,New Jersey,NJ,Public,Public,4 Year,12450,14374,26824,23715,51600,95200,16,319,781,11,377,70,4429,6003
Randolph College,Virginia,VA,Private,Private,4 Year,13580,39585,53165,39585,47000,86100,4,74,31,0,20,24,540,693
Reed College,Oregon,OR,Private,Private,4 Year,14210,56340,70550,56340,56100,104900,4,26,146,3,80,113,1022,1394
Regis University,Colorado,CO,Private,Private,4 Year,11560,36810,48370,36810,55500,94800,57,521,1392,21,428,234,6555,9208
Rensselaer Polytechnic Institute,New York,NY,Private,Private,4 Year,15260,53880,69140,53880,71300,134100,6,182,439,3,629,386,5190,6835
Rhode Island College,Rhode Island,RI,Public,Public,4 Year,11829,8929,20758,21692,47200,83500,32,639,1153,10,249,144,6414,8641
Rhode Island School of Design,Rhode Island,RI,Private,Private,4 Year,13400,50960,64360,50960,55500,100600,3,50,189,2,386,86,1733,2449
Rhodes College,Tennessee,TN,Private,Private,4 Year,11403,47890,59293,47890,51900,97800,6,128,73,0,133,62,1652,2054
Rice University,Texas,TX,Private,Private,4 Year,14000,47350,61350,47350,71000,129500,5,340,746,6,1102,222,4200,6621
Rider University,New Jersey,NJ,Private,Private,4 Year,14700,41310,56010,41310,51600,99000,8,529,528,8,235,118,3868,5294
Ripon College,Wisconsin,WI,Private,Private,4 Year,8400,43808,52208,43808,46300,89600,2,19,40,0,12,15,752,840
Roanoke College,Virginia,VA,Private,Private,4 Year,13690,44030,57720,44030,48500,85100,7,110,76,2,30,85,1740,2050
Rockhurst University,Missouri,MO,Private,Private,4 Year,10200,37590,47790,37590,54000,92500,5,146,143,3,91,79,2535,3002
Rocky Mountain College,Montana,MT,Private,Private,4 Year,8330,28512,36842,28512,46000,82900,21,32,18,5,10,67,854,1007
Roger Williams University,Rhode Island,RI,Private,Private,4 Year,15890,34522,50412,34522,52900,92700,42,117,238,3,107,4,4373,4884
Rogers State University,Oklahoma,OK,Public,Public,4 Year,8616,6870,15486,15210,41400,73800,510,94,181,4,49,709,2483,4030
Rollins College,Florida,FL,Private,Private,4 Year,14735,49760,64495,49760,49000,87000,9,197,487,2,95,91,2326,3207
Rose-Hulman Institute of Technology,Indiana,IN,Private,Private,4 Year,14766,49871,64637,49871,75000,135800,3,57,68,2,82,90,2086,2388
Rowan University,New Jersey,NJ,Public,Public,4 Year,12552,13697,26249,22339,51100,91200,35,1342,1301,13,814,317,10956,14778
Rust College,Mississippi,MS,Private,Private,4 Year,4300,9900,14200,9900,34800,62400,0,924,0,0,2,0,37,963
Sacred Heart University,Connecticut,CT,Private,Private,4 Year,15310,41420,56730,41420,55000,100500,14,361,497,11,174,89,6635,7781
Saginaw Valley State University,Michigan,MI,Public,Public,4 Year,10186,10308,20494,24215,46400,82200,32,950,336,4,72,162,8273,9829
Saint Anselm College,New Hampshire,NH,Private,Private,4 Year,14500,41200,55700,41200,56400,100300,3,36,57,2,12,34,1824,1968
Saint Joseph's College of Maine,Maine,ME,Private,Private,4 Year,13680,35650,49330,35650,46900,84300,13,96,63,1,39,0,2721,2933
Saint Louis University,Missouri,MO,Private,Private,4 Year,12290,43884,56174,43884,54200,95300,13,1091,567,0,1111,699,13571,17052
Saint Martin's University,Washington,WA,Private,Private,4 Year,11445,37356,48801,37356,53200,91800,9,109,181,38,80,123,1261,1801
Saint Mary's College of California,California,CA,Private,Private,4 Year,15370,47280,62650,47280,59900,110800,13,212,918,24,414,221,2310,4112
Saint Michael's College,Vermont,VT,Private,Private,4 Year,12220,45375,57595,45375,52900,98500,5,51,98,1,43,43,2377,2618
Saint Peter's University,New Jersey,NJ,Private,Private,4 Year,15414,37486,52900,37486,52900,95900,24,819,950,14,235,57,1203,3302
Saint Xavier University,Illinois,IL,Private,Private,4 Year,11340,33880,45220,33880,49400,91200,12,668,920,2,112,71,2288,4073
Salisbury University,Maryland,MD,Public,Public,4 Year,11950,9824,21774,19526,50400,89800,34,1091,345,10,216,306,6768,8770
Salve Regina University,Rhode Island,RI,Private,Private,4 Year,14500,40550,55050,40550,53000,93900,12,67,163,2,34,47,2414,2739
Samford University,Alabama,AL,Private,Private,4 Year,10550,31650,42200,31650,48400,90500,17,372,218,1,80,50,4195,4933
San Jose State University,California,CA,Public,Public,4 Year,16442,7796,24238,17300,63000,114700,44,1029,7407,242,10381,1559,12051,32713
Santa Clara University,California,CA,Private,Private,4 Year,14910,51711,66621,51711,69900,134700,10,238,1283,20,1416,461,5587,9015
Savannah College of Art and Design,Georgia,GA,Private,Private,4 Year,14550,36630,51180,36630,46800,80100,61,1270,859,27,511,16,8603,11347
Seattle Pacific University,Washington,WA,Private,Private,4 Year,11796,42939,54735,42939,53600,103400,19,152,334,11,430,292,2979,4217
Seattle University,Washington,WA,Private,Private,4 Year,12288,44610,56898,44610,60600,113700,41,215,612,43,1011,457,4894,7273
Seton Hall University,New Jersey,NJ,Private,Private,4 Year,15800,42470,58270,42470,57100,103800,10,1098,1364,30,688,189,6248,9627
Shenandoah University,Virginia,VA,Private,Private,4 Year,10370,32530,42900,32530,48700,86600,53,411,182,12,269,0,2766,3693
Shepherd University,West Virginia,WV,Public,Public,4 Year,10500,7548,18048,18048,47100,87100,26,321,111,3,74,35,3471,4041
Shorter University,Georgia,GA,Private,Private,4 Year,9400,22370,31770,22370,45600,79900,8,356,53,2,13,28,1106,1566
Sierra Nevada College,Nevada,NV,Private,Private,4 Year,13357,34241,47598,34241,54000,95500,31,41,33,10,19,3,902,1039
Smith College,Massachusetts,MA,Private,Private,4 Year,17520,52404,69924,52404,52700,98200,5,149,276,2,348,128,2081,2989
South Carolina State University,South Carolina,SC,Public,Public,4 Year,9890,11060,20950,21750,44500,80800,4,3128,18,1,22,1,157,3331
South Dakota School of Mines and Technology,South Dakota,SD,Public,Public,4 Year,8440,9779,18219,14021,66500,118500,50,50,110,5,44,96,2443,2798
South Dakota State University,South Dakota,SD,Public,Public,4 Year,7896,8764,16660,12128,50500,91900,127,255,241,13,140,229,11538,12543
Southeast Missouri State University,Missouri,MO,Public,Public,4 Year,8935,7418,16353,13155,43700,79100,55,1022,189,4,118,13,10686,12087
Southeastern Louisiana University,Louisiana,LA,Public,Public,4 Year,8420,8165,16585,20643,46700,83900,35,2148,893,14,128,757,10512,14487
Southeastern Oklahoma State University,Oklahoma,OK,Public,Public,4 Year,6970,6750,13720,15390,45000,80500,698,208,154,7,37,522,2252,3878
