category,Adams State University,Agnes Scott College,Alabama State University,Alaska Pacific University,Albany College of Pharmacy and Health Sciences,Albertus Magnus College,Albion College,Alcorn State University,Allen College,Alma College,Amherst College,Andrews University,Appalachian State University,Arizona Christian University,Arkansas Tech University,Asbury University,Auburn University,Auburn University at Montgomery,Augusta University,Austin Peay State University,Avila University,Babson College,Baker University,Ball State University,Barnard College,Barry University,Barton College,Bastyr University,Bates College,Baylor University,Belhaven University,Bellarmine University,Bellevue University,Belmont Abbey College,Belmont University,Beloit College,Benedict College,Benedictine College,Bennington College,Bentley University,Berea College,Berry College,Black Hills State University,Bloomfield College,Boise State University,Boston College,Boston University,Bowdoin College,Bowie State University,Bradley University,Brandeis University,Brescia University,Brown University,Bryant University,Bucknell University,Butler University,California Institute of Technology,Calvin College,Cameron University,Campbell University,Campbellsville University,Cardinal Stritch University,Carleton College,Carnegie Mellon University,Carroll College,Carroll University,Carson-Newman University,Carthage College,Case Western Reserve University,Catawba College,Centenary College of Louisiana,Central Baptist College,Central Christian College of Kansas,Central College,Central Connecticut State University,Central Michigan University,Central Washington University,Centre College,Chadron State College,Chaminade University of Honolulu,Champlain College,Charleston Southern University,Christian Brothers University,Christopher Newport University,Claremont McKenna College,Clark Atlanta University,Clark University,Clarke University,Clarkson College,Clarkson University,Cleary University,Clemson University,Cleveland State University,Coastal Carolina University,Coe College,Colby College,Colby-Sawyer College,Colgate University,College for Creative Studies,College of Charleston,College of Saint Mary,College of the Holy Cross,Colorado Christian University,Colorado College,Colorado Mesa University,Colorado School of Mines,Columbia International University,Columbus State University,Connecticut College,Converse College,Corban University,Cornell College,Cornell University,Cornish College of the Arts,Covenant College,Creighton University,Cumberland University,Dakota State University,Dakota Wesleyan University,Dartmouth College,Davidson College,Delaware State University,Delta State University,Denison University,DePaul University,DePauw University,Dickinson College,Dickinson State University,Dillard University,Dordt College,Drake University,Drew University,Drexel University,Drury University,Duke University,East Carolina University,East Tennessee State University,Eastern Connecticut State University,Eastern Kentucky University,Eastern Michigan University,Eastern Oregon University,Eastern Washington University,Eckerd College,Edgewood College,Elon University,Emory University,Emporia State University,Erskine College,Fairfield University,Fairmont State University,Faulkner University,Felician University,Ferris State University,Ferrum College,Fisk University,Florida Atlantic University,Florida Institute of Technology,Florida International University,Florida State University,Fordham University,Fort Hays State University,Fort Lewis College,Francis Marion University,Franklin Pierce University,Freed-Hardeman University,Friends University,Frostburg State University,George Fox University,George Mason University,Georgetown College,Georgia Southern University,Georgia State University,Gettysburg College,Goddard College,Goldey-Beacom College,Gonzaga University,Goucher College,Grambling State University,Green Mountain College,Grinnell College,Gustavus Adolphus College,Hamline University,Hampden-Sydney College,Hampton University,Hanover College,Harding University,Harvey Mudd College,Hastings College,Haverford College,Hawaii Pacific University,Henderson State University,Hendrix College,High Point University,Hofstra University,Holy Cross College,Hood College,Hope College,Huntingdon College,Husson University,Idaho State University,Illinois Institute of Technology,Illinois State University,Illinois Wesleyan University,Indiana State University,Iowa State University,Jackson State University,Jacksonville State University,Jacksonville University,James Madison University,Jefferson College of Health Sciences,John Brown University,John Carroll University,Johns Hopkins University,Kalamazoo College,Kansas State University,Kansas Wesleyan University,Kean University,Keene State College,Kennesaw State University,Kentucky Christian University,Kentucky State University,Kentucky Wesleyan College,Kenyon College,Kettering College,Kettering University,Knox College,La Salle University,Lafayette College,Lake Forest College,Lake Superior State University,Lamar University,Lander University,Langston University,Lawrence Technological University,Lawrence University,Lehigh University,Lenoir-Rhyne University,LeTourneau University,Lewis & Clark College,Lewis University,Lewis-Clark State College,Limestone College,Lindenwood University,Lindsey Wilson College,Lipscomb University,Longwood University,Loras College,Louisiana College,Louisiana Tech University,Loyola Marymount University,Loyola University Chicago,Loyola University Maryland,Loyola University New Orleans,Luther College,Lyndon State College,Lyon College,Macalester College,Maharishi University of Management,Maine College of Art,Maine Maritime Academy,Manchester University,Manhattan Christian College,Manhattan College,Marietta College,Marquette University,Marshall University,Maryland Institute College of Art,Marymount University,Maryville College,Maryville University of Saint Louis,Massachusetts Institute of Technology,Massachusetts Maritime Academy,Mayville State University,McDaniel College,McNeese State University,McPherson College,MCPHS University,Menlo College,Mercer University,Merrimack College,Methodist University,Michigan State University,Michigan Technological University,Mid-America Christian University,MidAmerica Nazarene University,Middle Tennessee State University,Middlebury College,Midland University,Miles College,Milligan College,Millsaps College,Milwaukee School of Engineering,Minneapolis College of Art and Design,Minot State University,Mississippi College,Mississippi State University,Mississippi University for Women,Mississippi Valley State University,Missouri University of Science and Technology,Monmouth University,Montana Tech of the University of Montana,Montclair State University,Morehead State University,Morehouse College,Morningside College,Mount Carmel College of Nursing,Mount Marty College,Mount Mercy University,Muhlenberg College,Multnomah University,Murray State University,Nebraska Wesleyan University,New College of Florida,New England College,New England Institute of Technology,New Jersey City University,New Jersey Institute of Technology,New Mexico Highlands University,New Mexico Institute of Mining and Technology,New York University,Newberry College,Newman University,Nicholls State University,North Carolina Wesleyan College,North Central College,Northeastern State University,Northeastern University,Northern Arizona University,Northern Illinois University,Northern Kentucky University,Northern State University,Northwest Christian University,Northwest Missouri State University,Northwest Nazarene University,Northwestern Oklahoma State University,Northwestern University,Norwich University,Notre Dame of Maryland University,Nova Southeastern University,Oakland University,Oakwood University,Oberlin College,Oglethorpe University,Ohio Northern University,Ohio Wesleyan University,Oklahoma Baptist University,Oklahoma Christian University,Oklahoma City University,Oklahoma Panhandle State University,Oklahoma Wesleyan University,Old Dominion University,Oral Roberts University,Oregon Institute of Technology,Oregon State University,Ouachita Baptist University,Pacific Lutheran University,Pacific Northwest College of Art,Pacific University,Park University,Peru State College,Pfeiffer University,Philander Smith College,Pittsburg State University,Plymouth State University,Pomona College,Portland State University,Prairie View A&M University,Presbyterian College,Prescott College,Princeton University,Providence College,Queens University of Charlotte,Quinnipiac University,Radford University,Ramapo College of New Jersey,Randolph College,Reed College,Regis University,Rensselaer Polytechnic Institute,Rhode Island College,Rhode Island School of Design,Rhodes College,Rice University,Rider University,Ripon College,Roanoke College,Rockhurst University,Rocky Mountain College,Roger Williams University,Rogers State University,Rollins College,Rose-Hulman Institute of Technology,Rowan University,Rust College,Sacred Heart University,Saginaw Valley State University,Saint Anselm College,Saint Joseph's College of Maine,Saint Louis University,Saint Martin's University,Saint Mary's College of California,Saint Michael's College,Saint Peter's University,Saint Xavier University,Salisbury University,Salve Regina University,Samford University,San Jose State University,Santa Clara University,Savannah College of Art and Design,Seattle Pacific University,Seattle University,Seton Hall University,Shenandoah University,Shepherd University,Shorter University,Sierra Nevada College,Smith College,South Carolina State University,South Dakota School of Mines and Technology,South Dakota State University,Southeast Missouri State University,Southeastern Louisiana University,Southeastern Oklahoma State University,Southern Adventist University,Southern Connecticut State University,Southern Methodist University,Southern Nazarene University,Southern New Hampshire University,Southern Oregon University,Southern University at New Orleans,Southern Vermont College,Southern Wesleyan University,Southwestern Oklahoma State University,Spalding University,Spelman College,Spring Hill College,St. Mary's University,Stanford University,Stephens College,Stetson University,Stevens Institute of Technology,Stevenson University,Stockton University,Stonehill College,Swarthmore College,Tabor College,Taylor University,Tennessee State University,Tennessee Technological University,Texas Christian University,Texas Tech University,Thomas More College,Thomas More College of Liberal Arts,Tougaloo College,Towson University,Transylvania University,Trevecca Nazarene University,Trine University,Trinity University,Troy University,Truman State University,Tufts University,Tuskegee University,University of Alabama at Birmingham,University of Arizona,University of Arkansas at Little Rock,University of Arkansas at Monticello,University of Arkansas at Pine Bluff,University of Bridgeport,University of Central Arkansas,University of Central Florida,University of Central Missouri,University of Central Oklahoma,University of Charleston,University of Chicago,University of Connecticut,University of Dallas,University of Dayton,University of Delaware,University of Denver,University of Detroit Mercy,University of Dubuque,University of Evansville,University of Florida,University of Georgia,University of Hartford,University of Hawaii at Hilo,University of Houston,University of Idaho,University of Illinois at Chicago,University of Illinois at Urbana-Champaign,University of Indianapolis,University of Iowa,University of Jamestown,University of Kansas,University of Kentucky,University of Louisiana at Lafayette,University of Louisiana at Monroe,University of Louisville,University of Maine,University of Maine at Farmington,University of Maine at Fort Kent,University of Maine at Machias,University of Maine at Presque Isle,University of Mary,University of Memphis,University of Miami,University of Mississippi,University of Mobile,University of Montevallo,University of Mount Union,University of New England,University of New Haven,University of New Orleans,University of North Alabama,University of North Carolina at Chapel Hill,University of North Carolina at Charlotte,University of North Carolina School of the Arts,University of North Dakota,University of North Florida,University of North Georgia,University of Northern Colorado,University of Northern Iowa,University of Notre Dame,University of Oregon,University of Pennsylvania,University of Pikeville,University of Portland,University of Puget Sound,University of Rhode Island,University of Richmond,University of Rochester,University of Saint Joseph,University of San Diego,University of San Francisco,University of Science and Arts of Oklahoma,University of Scranton,University of Sioux Falls,University of South Alabama,University of South Dakota,University of Southern California,University of Southern Maine,University of Southern Mississippi,University of the Cumberlands,University of the Ozarks,University of Toledo,University of Tulsa,University of Utah,University of Vermont,University of West Alabama,University of West Georgia,University of Wisconsin-Parkside,University of Wisconsin-Stout,University of Wyoming,Valdosta State University,Valley City State University,Valparaiso University,Vanderbilt University,Vermont Technical College,Villanova University,Virginia Commonwealth University,Virginia Military Institute,Virginia State University,Viterbo University,Wabash College,Wake Forest University,Walla Walla University,Wartburg College,Washburn University,Washington State University,Wayne State College,Wayne State University,Webb Institute,Weber State University,Webster University,Wellesley College,Wentworth Institute of Technology,West Liberty University,West Virginia State University,West Virginia University,West Virginia University Institute of Technology,West Virginia Wesleyan College,Western Carolina University,Western Connecticut State University,Western Kentucky University,Western Michigan University,Western New England University,Western New Mexico University,Western Oregon University,Western State Colorado University,Western Washington University,Wheeling Jesuit University,Whitman College,Whitworth University,Wichita State University,Widener University,Willamette University,William Carey University,William Jewell College,William Paterson University of New Jersey,William Penn University,Williams College,Winona State University,Winthrop University,Wisconsin Lutheran College,Wittenberg University,Wofford College,Worcester Polytechnic Institute,Xavier University of Louisiana,Yale University,Yeshiva University
in_state_tuition,8782,12330,5422,7300,10920,13200,12380,9608,7282,10998,14740,9078,8304,10674,7870,7160,13332,6980,9640,10700,7200,16312,8410,10234,17225,11100,10120,7590,15224,12595,8500,12250,8730,10355,12120,8830,6200,10300,15610,16320,6764,12770,6978,11950,10692,14478,15720,14698,10904,10620,15440,9200,14670,15702,13662,13830,15525,10200,5452,11430,8000,8440,14085,14418,9880,9484,8810,11990,15190,10488,13400,7500,8286,10280,12176,10076,11115,10480,7380,13630,15354,10200,7400,11460,16705,9524,9170,9600,5398,14908,9600,10832,13560,9190,9480,14190,14264,13995,8800,12166,7700,14520,11846,12512,10925,13169,8150,9880,15150,10930,10228,9384,14816,12400,10260,11036,9290,6873,7350,15756,14372,12190,7722,12710,14235,13020,13698,6898,10100,9590,10528,14108,14079,8096,15178,9606,8472,13560,9018,9854,10040,12793,12588,11020,12230,14456,8912,10900,14710,9004,7750,12880,9894,11500,10790,11896,12880,10882,10816,17969,8300,9878,7948,13345,8260,7972,10202,11250,11460,9780,10070,11378,13010,1698,6400,11944,14506,7192,11722,12810,9910,10358,13558,11778,11580,7044,18127,9700,16402,14800,7504,12284,14130,15948,11500,12700,10310,9750,9830,7207,12762,9850,10984,10590,8720,9552,8100,14080,10092,5870,9224,11874,15836,9756,9680,9500,14470,11026,11467,8270,6690,9764,12510,4100,8240,9870,15080,15640,10390,9882,8920,9100,9476,9950,10341,13600,12510,9970,12490,10578,7580,9765,9000,9385,12652,11746,8275,5618,6495,14490,14480,14430,13380,9460,10598,9130,12156,7400,11890,10310,9580,9092,16200,11320,12720,10450,13280,13190,11424,10088,15510,12675,7840,11430,8704,8788,16400,14225,11616,15845,12890,10322,10756,8036,8708,9436,15530,8776,7042,7100,13730,10389,5610,6610,10300,10090,7424,8043,10274,13981,9656,15564,9960,13438,9610,5000,7986,9534,11765,8870,9190,9622,9264,14222,13065,12738,13600,7872,8510,18156,10666,8326,9938,10800,11019,7638,16880,10282,10880,10022,8029,9300,10016,7400,4780,16626,13840,11850,13250,10100,9312,16338,13200,11650,12430,7350,8190,8896,4695,8644,11620,9450,9058,12855,7880,10790,12860,12528,8200,8010,11226,8250,7778,11100,16716,10428,8925,10480,7700,16290,14700,10860,14540,9406,12450,13580,14210,11560,15260,11829,13400,11403,14000,14700,8400,13690,10200,8330,15890,8616,14735,14766,12552,4300,15310,10186,14500,13680,12290,11445,15370,12220,15414,11340,11950,14500,10550,16442,14910,14550,11796,12288,15800,10370,10500,9400,13357,17520,9890,8440,7896,8935,8420,6970,6940,12860,16845,8496,13120,13199,9040,11000,9030,5830,7600,13865,13462,10270,15763,10632,13052,15244,13130,12282,16000,15474,9850,9614,7806,9736,12804,9530,7950,9700,6643,13034,10460,8400,10810,13464,8185,8780,14560,9650,6400,12550,8930,6824,7881,13860,6854,9617,8766,7970,9180,16350,12874,12400,13580,12862,13005,9496,9930,12460,10120,10038,12476,11406,10270,8880,12074,11308,10288,11172,7570,10350,12982,8516,7850,9226,10418,9726,8220,8486,8406,6890,9975,14108,10696,9600,9330,10200,13990,15900,10575,9200,11190,11100,9021,8974,9976,7876,11204,8948,15410,12963,15616,7800,13450,12540,12950,12250,15938,11428,12980,14830,6350,15182,7350,7620,8216,15395,9450,9857,9000,7400,11434,11116,10262,12462,8116,10918,8026,6924,10320,8110,6446,11860,16234,10598,14020,10428,9428,11208,9060,10050,16032,4275,9996,8237,11398,7668,10427,15050,6279,11050,16468,14190,9406,11892,10918,11390,8856,9682,13072,8343,10143,13590,9136,10415,9635,11466,9900,13174,11496,11252,14446,12440,6810,9930,11445,6952,14500,9010,9312,10190,10356,12685,14774,9047,16000,12250
out_of_state_tuition,18222,53490,16490,28130,46025,45260,58155,16752,27252,51256,71166,38366,15518,37470,16938,37358,24608,17268,20398,19111,27100,67416,38240,20130,72257,40950,41000,33756,69018,58322,33800,54450,18120,28855,46430,58870,22800,39830,69970,66200,46754,49326,15711,41500,18386,69942,69668,68620,19137,44380,70835,31600,70326,59675,69754,54950,67887,44800,11902,43930,33400,38438,68844,69883,45366,41402,36710,55540,64232,41008,49980,23700,34960,47575,22792,23036,19187,52180,14576,39004,56364,35700,40220,26214,71110,32960,54900,42950,22318,64352,29850,25802,24185,20726,54480,69400,56662,69865,52910,24904,28050,67290,43712,67982,20168,32133,31840,17080,69970,29620,43268,51683,70004,54042,44590,50952,32180,16149,34650,71209,65819,20058,14968,64670,54210,62724,68359,13663,28199,40460,51924,53608,67358,36461,70873,16794,17749,24916,18314,23813,18719,20116,57128,40520,47549,65762,15670,45460,63060,16518,29440,47195,22524,45675,32270,17935,54730,17440,17332,70656,13433,18918,19108,50245,30210,36387,19374,47270,23922,48430,17492,22236,67490,18284,30700,55154,58806,14627,48724,65202,55310,51656,59304,38480,49250,27179,75003,39750,70994,40780,15940,58074,49248,62708,42320,52192,44320,37150,28010,14627,60058,24366,58620,19680,17708,17778,18525,50750,22108,32756,36152,53214,70076,58272,19943,39000,26818,25238,18899,28090,14780,36204,68440,20300,51730,56424,45640,68520,57454,21972,19112,20800,15426,43520,57816,66530,48910,40180,63424,43028,14198,35765,26600,34235,44796,25086,42459,22618,16140,63012,58528,63515,53072,51750,22672,37920,66500,23930,46890,23788,42338,24942,59680,47360,54590,18578,61910,44656,46304,38558,67342,22399,14506,54690,16563,37739,49105,57025,48510,57605,46736,24782,26402,26370,39444,18642,69980,41334,18646,40800,53640,51138,44820,13674,28326,18850,14464,14613,20443,52119,17067,28354,19130,41012,41140,18907,35262,41332,64360,34770,18274,43824,16183,52136,43005,24789,30938,14022,16280,69984,37090,39050,17920,41800,49899,14288,68267,21846,23142,20054,16527,39350,19821,36700,11816,71193,53856,48750,44150,22706,26032,71392,51300,43910,58190,35608,30950,39922,12889,35600,22492,37178,19045,24021,34670,52856,51110,56826,20850,15462,41460,20664,15076,25199,69496,19533,19458,49140,39185,65620,65090,45544,62500,20616,26824,53165,70550,48370,69140,20758,64360,59293,61350,56010,52208,57720,47790,36842,50412,15486,64495,64637,26249,14200,56730,20494,55700,49330,56174,48801,62650,57595,52900,45220,21774,55050,42200,24238,66621,51180,54735,56898,58270,42900,18048,31770,47598,69924,20950,18219,16660,16353,16585,13720,28890,23735,71338,33684,44256,22853,18411,36511,34506,12865,32100,43179,52926,40920,67117,41582,59082,67446,49312,26021,58746,68062,38095,43728,15814,18839,59754,20575,39070,31300,17433,22974,49210,33998,42985,56440,20645,16509,70942,31820,17110,25037,17896,14520,15723,46710,15605,15985,16439,15458,40080,74580,28604,53052,56480,26542,63561,37496,44040,48876,16501,21868,53170,19126,22776,16744,25838,26402,39976,20439,29546,21498,25227,19132,16584,20882,21588,19392,16335,16326,16441,25610,19676,64334,19356,32420,22090,41460,51610,55170,19629,19570,20177,18144,18379,17669,16370,15212,20990,17886,68801,24861,71200,28750,59354,62316,27088,64860,69864,50601,62338,62896,13565,59714,25630,17490,17277,71620,18970,18591,32000,31630,21229,52625,19484,30738,18156,18210,15555,16381,15720,15586,14072,52120,66050,25706,67328,24918,28290,20264,37030,53500,69354,32310,51276,17107,22979,14657,23774,65225,12110,38950,70200,48140,17136,20059,19774,18854,40496,13902,23891,18945,22626,50394,15960,19955,19749,19598,39190,64938,55136,19523,60394,62514,19410,44330,24505,32552,69950,18435,24902,39915,49856,56530,65304,33535,69430,55750
early_career_pay,44400,46000,39800,50300,81000,49700,52100,40900,51600,48400,63800,47600,46600,42600,45000,39400,54400,45000,47000,44200,45900,72000,47800,45600,59200,47400,42400,48400,59500,55500,41200,49000,49400,46700,47300,47400,38100,48700,48800,66600,39500,44900,40400,48400,50100,63600,61400,61300,50300,55600,60600,44300,68200,60500,66700,51800,84100,50200,43900,46300,37600,47000,58800,75900,48200,45600,42700,48900,66600,42500,47000,36900,37100,49000,53100,47700,52700,49500,42300,45400,51100,42800,51500,50800,68500,46300,52600,44900,50900,66400,47400,57500,48300,44700,47200,59200,46400,68400,51200,47300,43900,61800,46800,53100,47800,75600,36600,43300,57500,39000,42500,49600,70100,49000,44400,53500,45500,48400,41800,71500,57300,46300,40800,54400,55700,56600,55800,46400,44700,51000,52800,52800,61700,42600,71100,48400,43700,49200,45600,47300,44000,49500,49200,49500,53600,62000,43500,43500,62300,42900,39400,53200,50000,43000,45300,49400,58300,49600,50800,58700,45100,48300,42900,47800,43700,44700,49600,51200,58900,45000,49000,50600,58400,42700,49800,57800,49400,43100,42000,53400,51200,48100,58300,52700,47500,49200,88800,48600,59300,52200,42900,48100,48600,57300,48100,47900,49200,42400,43300,50800,64600,51200,53100,47900,56100,41700,43800,50100,57400,55500,47000,51600,67200,51600,52500,44700,48200,48900,52500,39600,40700,42100,55000,54300,69900,50600,55800,66500,55400,45900,53300,42600,46500,57900,51500,69500,46400,56600,50000,49700,44900,42100,45100,35300,49000,47300,48000,44800,53100,58500,53400,59900,47900,48200,41500,41200,53600,46800,36300,67000,46900,39400,64000,51200,57800,45000,49000,52300,42800,46800,86300,67900,43700,51100,50200,44500,65900,61900,48500,56000,45800,55300,65000,40700,46200,46500,60400,43800,34800,41200,49300,65700,47400,44500,45200,51100,39500,32500,67300,52200,61200,50800,41300,55700,44900,56600,41400,47200,53400,40500,44800,45700,47300,45700,51700,48700,64600,40400,64700,63100,41200,48000,44500,45300,50400,44500,62500,49600,53000,49000,42300,45200,46900,46200,42200,63400,57000,48300,50200,51300,43500,53100,52400,54400,51300,43900,49700,47700,42300,43300,50200,45900,61200,56200,44100,54500,46300,50200,48500,42600,44200,34600,47100,47000,63800,50800,57800,48800,41200,75200,58900,49400,55900,48900,51600,47000,56100,55500,71300,47200,55500,51900,71000,51600,46300,48500,54000,46000,52900,41400,49000,75000,51100,34800,55000,46400,56400,46900,54200,53200,59900,52900,52900,49400,50400,53000,48400,63000,69900,46800,53600,60600,57100,48700,47100,45600,54000,52700,44500,66500,50500,43700,46700,45000,47500,48500,59700,46100,47400,46000,40100,42900,42900,47900,44800,50200,46600,52900,79000,42800,47000,75100,50400,47400,55900,67500,43300,48700,47200,53100,56000,56800,50000,48900,36900,51200,47900,45300,55100,54900,44500,47900,65200,54500,48600,56100,45600,43500,40500,49900,44900,49700,46900,45300,44600,64000,59100,53000,57400,58600,55700,51800,44200,50300,55800,54400,55200,44000,56000,52300,56300,62600,47300,54100,47600,53000,51700,48200,48500,49500,52000,41100,43500,37100,39000,46400,47200,56200,48500,40600,38900,48300,50100,52100,49900,43000,55000,52500,46400,53800,48800,47300,47700,47100,67000,51800,72800,39000,58500,54200,54500,59800,61100,49900,58900,60600,37300,56400,44400,47700,47500,64500,46900,45100,39800,42300,51800,58700,54800,53200,42700,46700,46000,50400,52400,43400,39900,53300,65400,52400,65100,49900,65900,44900,46800,62200,60700,53700,49300,47000,55900,40600,50800,80800,53900,46500,58900,62700,42500,41800,54400,57100,47000,44700,51700,45500,50900,56400,41700,44500,44800,55000,44800,54600,49900,48700,55700,52200,41100,51400,50500,43900,67500,49700,44300,46200,52400,51300,73600,46700,70300,63500
mid_career_pay,81400,83600,71500,90000,144800,85900,99300,69500,91300,89900,116500,85000,82700,76600,76900,70800,104500,79600,84400,78200,81200,133800,84200,83700,109800,84400,77900,86300,111900,101400,74300,90700,84800,82900,80900,85700,67500,91800,90000,116600,71600,84900,72600,89100,86400,115400,113600,112000,89900,104900,113200,81200,127600,108600,122900,99300,151600,91100,81500,82400,66800,82500,109900,136100,91400,86500,76500,85400,117800,78100,88400,68000,66100,88800,93700,83600,93200,88500,76700,84000,88400,76300,96500,87200,125400,81100,101400,80200,91500,130100,84700,106700,88600,77600,86900,103300,83700,130600,89800,85100,77700,114600,80100,97900,81500,139600,66200,77900,100800,71000,77300,90600,128200,86400,79400,95800,81000,84300,75700,130900,106900,81900,74200,104800,102900,101000,100100,81200,79800,89600,99900,95000,114800,79400,132100,85400,77300,87800,80700,86700,73900,87500,88400,87500,93700,110800,78000,78000,116900,74100,71300,98200,89300,80600,83600,91200,105400,90100,92700,112500,79300,82600,77600,85600,78200,76500,87000,89600,105700,81900,88000,90800,109300,76900,86900,107600,90600,73100,75200,96500,96800,90400,108600,92600,85100,88600,158200,87100,112300,93500,79800,90300,84300,110400,87800,82600,90900,78900,77600,91800,118500,95000,96000,85600,101300,74600,80000,90400,102600,97600,82700,97300,117100,94500,97200,79400,90000,83600,94600,70300,73100,76800,103800,95800,125000,95400,104800,122500,102600,83500,101200,77100,81500,108400,98800,134100,86300,98900,93200,89800,77600,76500,78500,64100,84800,83300,90100,79800,100700,113300,96000,111200,88600,85900,75100,74300,100400,85200,64600,121800,84700,72200,125700,94300,105900,79700,84500,93100,75300,80100,155200,117500,81300,94600,88200,80900,121800,112400,85100,102500,80500,100800,116300,74100,78500,81100,109800,78100,65100,74900,88700,117600,84700,74100,79500,94100,69500,61900,122600,93200,112600,95400,74900,98700,82100,99700,76500,79000,101900,76400,79900,80500,86500,86400,93200,87600,121300,73800,120400,117700,74700,88500,84300,78800,92900,77600,109700,90000,95500,87400,77700,81100,85100,80600,76800,115400,99100,86400,89800,93300,78800,96800,91400,103900,99200,76600,87900,87900,74400,78700,89900,85100,106800,104800,80200,98100,85000,94000,85000,74800,78000,61200,84900,82200,117200,90500,99400,89900,73500,139400,106900,86600,97700,82900,95200,86100,104900,94800,134100,83500,100600,97800,129500,99000,89600,85100,92500,82900,92700,73800,87000,135800,91200,62400,100500,82200,100300,84300,95300,91800,110800,98500,95900,91200,89800,93900,90500,114700,134700,80100,103400,113700,103800,86600,87100,79900,95500,98200,80800,118500,91900,79100,83900,80500,84000,83600,110400,81000,83400,81200,71000,78700,74600,90800,79200,85400,89100,95300,145200,77200,86000,139900,91600,85800,103200,123200,77500,90600,78400,95100,98700,106500,90900,88300,66400,91200,85600,81700,100300,102900,81500,85800,118100,93500,87200,101000,80800,78300,70500,93600,79800,88600,83300,82900,81900,114200,105200,96400,105000,105400,105100,92800,79700,89900,102800,100700,101600,77200,103900,97700,103800,115300,84500,99400,85400,98600,96400,92500,92500,87600,95000,71700,76300,66200,70700,79100,85800,99600,89100,74100,70700,88500,91500,94800,91600,75600,100800,92600,82400,96000,86600,85600,87100,85300,130500,95800,133900,70700,104900,101300,99700,107500,112700,88800,109400,109900,67400,99700,78200,86400,87900,120600,81300,83900,73800,74500,92500,107200,102600,99400,76100,82700,81400,89500,98800,81000,68600,98000,119100,93900,119500,88200,120600,81800,81900,114400,114800,97800,88000,83000,103700,73400,91700,141800,94000,83500,106200,112700,77000,76000,99900,103700,85200,77700,88100,83100,92200,103000,76700,79300,81500,99300,83400,102600,88800,87300,100100,97700,71800,94500,90200,78300,127500,86800,79700,82500,105400,96600,135500,88200,138300,112800
