university name,American Indian,Black,Hispanic,Pacific Islander,Asian,2+ races,Other,Total Enrollment
University of Northern Colorado,38,437,1772,22,188,377,9216,12050
University of Northern Iowa,25,339,377,7,108,210,10862,11928
University of Notre Dame,21,376,1139,5,573,446,9619,12179
University of Oregon,162,482,2042,99,1280,1328,18703,24096
University of Pennsylvania,21,1483,1799,8,3717,777,17001,24806
University of Pikeville,11,167,45,2,25,0,2208,2458
University of Portland,7,41,408,63,404,337,2883,4143
University of Puget Sound,4,29,191,1,189,248,2164,2826
University of Rhode Island,44,803,1288,6,534,394,13502,16571
University of Richmond,13,345,258,2,215,137,3212,4182
University of Rochester,28,491,533,5,915,241,8847,11060
University of Saint Joseph,2,252,223,3,116,32,1937,2565
University of San Diego,42,291,1505,30,641,408,5432,8349
University of San Francisco,26,464,1919,69,1881,635,5695,10689
University of Science and Arts of Oklahoma,102,37,56,0,9,55,645,904
University of Scranton,6,155,388,2,149,117,4772,5589
University of Sioux Falls,4,46,17,2,8,48,1294,1419
University of South Alabama,100,3285,402,33,539,325,11121,15805
University of South Dakota,168,227,232,51,151,232,9000,10061
University of Southern California,73,2238,5286,104,7696,1380,25676,42453
University of Southern Maine,76,224,147,7,164,169,7641,8428
University of Southern Mississippi,48,4033,457,14,172,316,9752,14792
University of the Cumberlands,18,310,95,2,30,19,5262,5736
University of the Ozarks,4,33,86,0,1,22,441,587
University of Toledo,36,2455,836,15,594,480,16210,20626
University of Tulsa,240,183,189,4,128,68,3870,4682
University of Utah,126,401,2718,171,1590,989,25520,31515
University of Vermont,32,166,533,4,388,331,11402,12856
University of West Alabama,18,1769,59,2,6,39,2096,3989
University of West Georgia,17,4286,497,14,131,358,6903,12206
University of Wisconsin-Parkside,9,384,560,9,135,165,3281,4543
University of Wisconsin-Stout,28,156,220,14,307,155,8514,9394
University of Wyoming,72,121,749,33,171,305,11369,12820
Valdosta State University,33,3858,485,14,129,341,6703,11563
Valley City State University,12,43,58,2,7,37,1219,1378
Valparaiso University,15,283,329,1,87,91,3701,4507
Vanderbilt University,35,932,810,12,966,456,9475,12686
Vermont Technical College,11,23,23,0,18,36,1431,1542
Villanova University,12,580,699,9,666,209,8560,10735
Virginia Commonwealth University,84,4798,2002,51,3615,1282,19016,30848
Virginia Military Institute,6,86,82,13,75,28,1410,1700
Virginia State University,15,4283,99,1,23,0,604,5025
Viterbo University,9,46,61,1,40,45,2602,2804
Wabash College,5,55,59,1,12,27,767,926
Wake Forest University,21,647,433,40,331,166,6150,7788
Walla Walla University,22,55,234,8,122,5,1441,1887
Wartburg College,1,80,42,1,20,36,1481,1661
Washburn University,39,327,465,6,76,220,5589,6722
Washington State University,169,896,3077,100,1497,1863,21084,28686
Wayne State College,25,95,229,2,19,55,3045,3470
Wayne State University,82,4881,983,35,2057,689,18851,27578
Webb Institute,0,0,0,0,8,4,78,90
Weber State University,95,320,2430,98,317,425,22269,25954
Webster University,75,6217,1159,31,423,314,8550,16769
Wellesley College,1,128,205,0,538,138,1313,2323
Wentworth Institute of Technology,10,212,155,0,285,247,3649,4558
West Liberty University,7,120,21,1,19,31,2495,2694
West Virginia State University,14,277,14,0,10,0,2569,2884
West Virginia University,42,1232,935,25,545,867,25529,29175
West Virginia University Institute of Technology,5,83,54,0,18,32,1069,1261
West Virginia Wesleyan College,5,122,27,3,3,43,1308,1511
Western Carolina University,87,669,496,12,134,320,8664,10382
Western Connecticut State University,13,668,900,10,200,67,4094,5952
Western Kentucky University,46,1938,515,18,210,444,17000,20171
Western Michigan University,106,2634,1117,28,388,696,18945,23914
Western New England University,10,234,273,2,147,42,3214,3922
Western New Mexico University,100,145,1442,5,46,17,1802,3557
Western Oregon University,122,190,469,146,201,16,4905,6049
Western State Colorado University,15,59,237,14,21,74,2164,2584
Western Washington University,65,224,1095,28,971,1164,11513,15060
Wheeling Jesuit University,4,70,31,2,19,25,1424,1575
Whitman College,5,14,117,0,80,85,1197,1498
Whitworth University,19,51,205,12,90,133,2144,2654
Wichita State University,118,829,1289,14,940,435,11370,14995
Widener University,17,731,230,6,173,117,3638,4912
Willamette University,33,53,270,9,189,198,2028,2780
William Carey University,17,1096,59,0,119,0,2645,3936
William Jewell College,4,59,36,2,10,60,889,1060
William Paterson University of New Jersey,11,1483,2740,25,704,250,5835,11048
William Penn University,10,290,135,6,24,29,1297,1791
Williams College,3,147,243,0,223,146,1364,2126
Winona State University,9,199,208,5,161,176,7926,8684
Winthrop University,23,1650,217,7,71,147,3909,6024
Wisconsin Lutheran College,7,63,56,1,13,26,1013,1179
Wittenberg University,3,127,62,1,24,95,1652,1964
Wofford College,3,125,54,3,47,53,1373,1658
Worcester Polytechnic Institute,5,130,394,0,294,168,5390,6381
Xavier University of Louisiana,4,2088,77,0,384,78,345,2976
Yale University,49,675,939,5,1581,547,8540,12336
Yeshiva University,6,144,199,15,289,29,5666,6348
