university name,American Indian,Black,Hispanic,Pacific Islander,Asian,2+ races,Other,Total Enrollment
DePaul University,19,2123,3388,37,1777,795,15660,23799
DePauw University,6,126,76,0,75,144,1788,2215
Dickinson College,1,97,142,1,55,80,1988,2364
Dickinson State University,14,60,66,4,9,38,1288,1479
Dillard University,0,1108,6,0,0,9,77,1200
Dordt College,3,22,12,103,13,0,1306,1459
Drake University,10,160,163,1,200,79,4449,5062
Drew University,4,249,204,2,105,52,1497,2113
Drexel University,40,2055,1424,108,3083,691,18958,26359
Drury University,41,159,206,7,48,84,3670,4215
Duke University,66,1156,797,20,2268,369,11180,15856
East Carolina University,181,4359,1498,26,782,788,19877,27511
East Tennessee State University,38,860,290,9,232,341,12664,14434
Eastern Connecticut State University,16,346,482,6,151,137,4149,5287
Eastern Kentucky University,49,967,333,19,142,357,14438,16305
Eastern Michigan University,52,4059,830,15,565,704,16176,22401
Eastern Oregon University,83,99,229,36,77,47,3082,3653
Eastern Washington University,167,432,1772,37,395,604,10046,13453
Eckerd College,7,101,163,4,35,60,1713,2083
Edgewood College,11,82,152,4,73,66,2592,2980
Elon University,29,391,316,3,146,110,5488,6483
Emory University,26,1474,874,8,2281,338,9768,14769
Emporia State University,29,272,339,7,52,286,5129,6114
Erskine College,3,125,22,0,6,0,597,753
Fairfield University,3,137,352,5,113,67,4446,5123
Fairmont State University,15,214,76,3,18,96,3613,4035
Faulkner University,24,1505,71,3,19,52,1661,3335
Felician University,10,382,486,11,134,12,918,1953
Ferris State University,78,1013,556,7,207,443,12296,14600
Ferrum College,6,436,77,3,8,69,852,1451
Fisk University,0,653,18,1,6,12,82,772
Florida Atlantic University,57,5678,7255,36,1318,924,15029,30297
Florida Institute of Technology,28,533,359,17,174,97,5185,6393
Florida International University,42,5977,31211,57,1434,1042,9847,49610
Florida State University,116,3377,6594,59,1029,1063,28988,41226
Fordham University,18,959,1879,15,1164,420,10776,15231
Fort Hays State University,56,514,877,15,130,281,11952,13825
Fort Lewis College,887,31,388,8,24,227,2226,3791
Francis Marion University,11,1778,56,2,47,38,2012,3944
Franklin Pierce University,10,81,40,3,36,63,2042,2275
Freed-Hardeman University,4,230,38,0,10,28,1557,1867
Friends University,25,204,68,7,51,118,1409,1882
