university_name,state,state_abbv,type,degree_length,room_and_board,In-State Tuition,in_state_total,Out-of-State Tuition,out_of_state_total,Early Career Pay,Mid Career Pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment,,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,,state_code,avg_tuition_oos,avg_tuition_is,avg_early_pay,avg_mid_pay
Barton College,North Carolina,NC,Private,Private,4 Year,10120,30880,41000,30880,42400,77900,9,245,55,0,12,28,686,1035,,0.87%,23.67%,5.31%,0.00%,1.16%,2.71%,66.28%,,NE,28904,8402,46130,82040
Bastyr University,Washington,WA,Private,Private,4 Year,7590,26166,33756,26166,48400,86300,6,43,42,0,121,73,917,1202,,0.50%,3.58%,3.49%,0.00%,10.07%,6.07%,76.29%,,NV,47598,13357,54000,95500
Bates College,Maine,ME,Private,Private,4 Year,15224,53794,69018,53794,59500,111900,4,85,120,0,82,72,1410,1773,,0.23%,4.79%,6.77%,0.00%,4.62%,4.06%,79.53%,,NH,45772,13004,51111,91600
Baylor University,Texas,TX,Private,Private,4 Year,12595,45727,58322,45727,55500,101400,62,1129,2146,9,939,699,11279,16263,,0.38%,6.94%,13.20%,0.06%,5.77%,4.30%,69.35%,,NJ,41716,13851,54788,100600
Belhaven University,Mississippi,MS,Private,Private,4 Year,8500,25300,33800,25300,41200,74300,23,2253,144,7,20,61,1606,4114,,0.56%,54.76%,3.50%,0.17%,0.49%,1.48%,39.04%,,NM,15421,8506,48933,90300
Bellarmine University,Kentucky,KY,Private,Private,4 Year,12250,42200,54450,42200,49000,90700,9,196,101,5,65,97,3136,3609,,0.25%,5.43%,2.80%,0.14%,1.80%,2.69%,86.89%,,NY,65039,15280,66531,123938
Bellevue University,Nebraska,NE,Private,Private,4 Year,8730,9390,18120,9390,49400,84800,49,1168,676,30,214,211,7531,9879,,0.50%,11.82%,6.84%,0.30%,2.17%,2.14%,76.23%,,NC,39250,11576,49695,89245
Belmont Abbey College,North Carolina,NC,Private,Private,4 Year,10355,18500,28855,18500,46700,82900,4,391,23,0,15,5,1122,1560,,0.26%,25.06%,1.47%,0.00%,0.96%,0.32%,71.92%,,ND,18391,7318,46043,80814
Belmont University,Tennessee,TN,Private,Private,4 Year,12120,34310,46430,34310,47300,80900,16,318,300,7,157,231,6215,7244,,0.22%,4.39%,4.14%,0.10%,2.17%,3.19%,85.80%,,OH,46922,11483,53780,99560
Beloit College,Wisconsin,WI,Private,Private,4 Year,8830,50040,58870,50040,47400,85700,5,60,109,3,32,22,1072,1303,,0.38%,4.60%,8.37%,0.23%,2.46%,1.69%,82.27%,,OK,23853,7664,45128,81428
Benedict College,South Carolina,SC,Private,Private,4 Year,6200,16600,22800,16600,38100,67500,0,2416,7,0,9,0,12,2444,,0.00%,98.85%,0.29%,0.00%,0.37%,0.00%,0.49%,,OR,39848,11564,49835,90376
Benedictine College,Kansas,KS,Private,Private,4 Year,10300,29530,39830,29530,48700,91800,8,70,112,7,26,95,1820,2138,,0.37%,3.27%,5.24%,0.33%,1.22%,4.44%,85.13%,,PA,65706,14406,62700,115680
Bennington College,Vermont,VT,Private,Private,4 Year,15610,54360,69970,54360,48800,90000,13,10,38,1,25,23,645,755,,1.72%,1.32%,5.03%,0.13%,3.31%,3.05%,85.43%,,RI,50640,14078,55822,100744
Bentley University,Massachusetts,MA,Private,Private,4 Year,16320,49880,66200,49880,66600,116600,4,149,325,0,433,102,4552,5565,,0.07%,2.68%,5.84%,0.00%,7.78%,1.83%,81.80%,,SC,31508,9850,44124,79759
Berea College,Kentucky,KY,Private,Private,4 Year,6764,39990,46754,39990,39500,71600,2,242,95,3,26,88,1165,1621,,0.12%,14.93%,5.86%,0.19%,1.60%,5.43%,71.87%,,SD,21787,7680,47022,84811
Berry College,Georgia,GA,Private,Private,4 Year,12770,36556,49326,36556,44900,84900,2,93,134,3,26,62,1857,2177,,0.09%,4.27%,6.16%,0.14%,1.19%,2.85%,85.30%,,TN,34104,9839,47421,84747
Black Hills State University,South Dakota,SD,Public,Public,4 Year,6978,8733,15711,11778,40400,72600,154,41,166,10,22,143,3953,4489,,3.43%,0.91%,3.70%,0.22%,0.49%,3.19%,88.06%,,TX,43606,11666,56958,103708
Bloomfield College,New Jersey,NJ,Private,Private,4 Year,11950,29550,41500,29550,48400,89100,12,1044,484,8,56,11,389,2004,,0.60%,52.10%,24.15%,0.40%,2.79%,0.55%,19.41%,,UT,15797,8271,54350,98300
Boise State University,Idaho,ID,Public,Public,4 Year,10692,7694,18386,23776,50100,86400,132,357,2149,71,436,697,18385,22227,,0.59%,1.61%,9.67%,0.32%,1.96%,3.14%,82.71%,,VT,44582,11876,49536,89545
Boston College,Massachusetts,MA,Private,Private,4 Year,14478,55464,69942,55464,63600,115400,15,575,1238,1,1144,375,10969,14317,,0.10%,4.02%,8.65%,0.01%,7.99%,2.62%,76.62%,,VA,36301,11257,52222,93333
Boston University,Massachusetts,MA,Private,Private,4 Year,15720,53948,69668,53948,61400,113600,27,1190,2419,34,3448,868,24126,32112,,0.08%,3.71%,7.53%,0.11%,10.74%,2.70%,75.13%,,WA,43521,11101,53507,97433
