university_name,state,state_abbv,type,degree_length,room_and_board,In-State Tuition,in_state_total,Out-of-State Tuition,out_of_state_total,Early Career Pay,Mid Career Pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment,,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,,state_code,avg_tuition_oos,avg_tuition_is,avg_early_pay,avg_mid_pay
Dartmouth College,New Hampshire,NH,Private,Private,4 Year,15756,55453,71209,55453,71500,130900,102,341,446,7,775,245,4382,6298,,1.62%,5.41%,7.08%,0.11%,12.31%,3.89%,69.58%,,,,,,
Davidson College,North Carolina,NC,Private,Private,4 Year,14372,51447,65819,51447,57300,106900,11,114,117,0,102,71,1355,1770,,0.62%,6.44%,6.61%,0.00%,5.76%,4.01%,76.55%,,,,,,
Delaware State University,Delaware,DE,Public,Public,4 Year,12190,7868,20058,16904,46300,81900,12,2916,226,5,47,160,1031,4397,,0.27%,66.32%,5.14%,0.11%,1.07%,3.64%,23.45%,,,,,,
Delta State University,Mississippi,MS,Public,Public,4 Year,7722,7246,14968,7246,40800,74200,4,1325,45,5,24,23,2188,3614,,0.11%,36.66%,1.25%,0.14%,0.66%,0.64%,60.54%,,,,,,
Denison University,Ohio,OH,Private,Private,4 Year,12710,51960,64670,51960,54400,104800,1,158,229,2,84,80,1724,2278,,0.04%,6.94%,10.05%,0.09%,3.69%,3.51%,75.68%,,,,,,
DePaul University,Illinois,IL,Private,Private,4 Year,14235,39975,54210,39975,55700,102900,19,2123,3388,37,1777,795,15660,23799,,0.08%,8.92%,14.24%,0.16%,7.47%,3.34%,65.80%,,,,,,
DePauw University,Indiana,IN,Private,Private,4 Year,13020,49704,62724,49704,56600,101000,6,126,76,0,75,144,1788,2215,,0.27%,5.69%,3.43%,0.00%,3.39%,6.50%,80.72%,,,,,,
Dickinson College,Pennsylvania,PA,Private,Private,4 Year,13698,54661,68359,54661,55800,100100,1,97,142,1,55,80,1988,2364,,0.04%,4.10%,6.01%,0.04%,2.33%,3.38%,84.09%,,,,,,
Dickinson State University,North Dakota,ND,Public,Public,4 Year,6898,6765,13663,9544,46400,81200,14,60,66,4,9,38,1288,1479,,0.95%,4.06%,4.46%,0.27%,0.61%,2.57%,87.09%,,,,,,
Dillard University,Louisiana,LA,Private,Private,4 Year,10100,18099,28199,18099,44700,79800,0,1108,6,0,0,9,77,1200,,0.00%,92.33%,0.50%,0.00%,0.00%,0.75%,6.42%,,,,,,
Dordt College,Iowa,IA,Private,Private,4 Year,9590,30870,40460,30870,51000,89600,3,22,12,103,13,0,1306,1459,,0.21%,1.51%,0.82%,7.06%,0.89%,0.00%,89.51%,,,,,,
Drake University,Iowa,IA,Private,Private,4 Year,10528,41396,51924,41396,52800,99900,10,160,163,1,200,79,4449,5062,,0.20%,3.16%,3.22%,0.02%,3.95%,1.56%,87.89%,,,,,,
Drew University,New Jersey,NJ,Private,Private,4 Year,14108,39500,53608,39500,52800,95000,4,249,204,2,105,52,1497,2113,,0.19%,11.78%,9.65%,0.09%,4.97%,2.46%,70.85%,,,,,,
Drexel University,Pennsylvania,PA,Private,Private,4 Year,14079,53279,67358,53279,61700,114800,40,2055,1424,108,3083,691,18958,26359,,0.15%,7.80%,5.40%,0.41%,11.70%,2.62%,71.92%,,,,,,
Drury University,Missouri,MO,Private,Private,4 Year,8096,28365,36461,28365,42600,79400,41,159,206,7,48,84,3670,4215,,0.97%,3.77%,4.89%,0.17%,1.14%,1.99%,87.07%,,,,,,
Duke University,North Carolina,NC,Private,Private,4 Year,15178,55695,70873,55695,71100,132100,66,1156,797,20,2268,369,11180,15856,,0.42%,7.29%,5.03%,0.13%,14.30%,2.33%,70.51%,,,,,,
East Carolina University,North Carolina,NC,Public,Public,4 Year,9606,7188,16794,23465,48400,85400,181,4359,1498,26,782,788,19877,27511,,0.66%,15.84%,5.45%,0.09%,2.84%,2.86%,72.25%,,,,,,
East Tennessee State University,Tennessee,TN,Public,Public,4 Year,8472,9277,17749,28459,43700,77300,38,860,290,9,232,341,12664,14434,,0.26%,5.96%,2.01%,0.06%,1.61%,2.36%,87.74%,,,,,,
Eastern Connecticut State University,Connecticut,CT,Public,Public,4 Year,13560,11356,24916,22596,49200,87800,16,346,482,6,151,137,4149,5287,,0.30%,6.54%,9.12%,0.11%,2.86%,2.59%,78.48%,,,,,,
Eastern Kentucky University,Kentucky,KY,Public,Public,4 Year,9018,9296,18314,19074,45600,80700,49,967,333,19,142,357,14438,16305,,0.30%,5.93%,2.04%,0.12%,0.87%,2.19%,88.55%,,,,,,
Eastern Michigan University,Michigan,MI,Public,Public,4 Year,9854,13959,23813,13959,47300,86700,52,4059,830,15,565,704,16176,22401,,0.23%,18.12%,3.71%,0.07%,2.52%,3.14%,72.21%,,,,,,
Eastern Oregon University,Oregon,OR,Public,Public,4 Year,10040,8679,18719,20739,44000,73900,83,99,229,36,77,47,3082,3653,,2.27%,2.71%,6.27%,0.99%,2.11%,1.29%,84.37%,,,,,,
Eastern Washington University,Washington,WA,Public,Public,4 Year,12793,7323,20116,24444,49500,87500,167,432,1772,37,395,604,10046,13453,,1.24%,3.21%,13.17%,0.28%,2.94%,4.49%,74.67%,,,,,,
Eckerd College,Florida,FL,Private,Private,4 Year,12588,44540,57128,44540,49200,88400,7,101,163,4,35,60,1713,2083,,0.34%,4.85%,7.83%,0.19%,1.68%,2.88%,82.24%,,,,,,
Edgewood College,Wisconsin,WI,Private,Private,4 Year,11020,29500,40520,29500,49500,87500,11,82,152,4,73,66,2592,2980,,0.37%,2.75%,5.10%,0.13%,2.45%,2.21%,86.98%,,,,,,
Elon University,North Carolina,NC,Private,Private,4 Year,12230,35319,47549,35319,53600,93700,29,391,316,3,146,110,5488,6483,,0.45%,6.03%,4.87%,0.05%,2.25%,1.70%,84.65%,,,,,,
Emory University,Georgia,GA,Private,Private,4 Year,14456,51306,65762,51306,62000,110800,26,1474,874,8,2281,338,9768,14769,,0.18%,9.98%,5.92%,0.05%,15.44%,2.29%,66.14%,,,,,,
Emporia State University,Kansas,KS,Public,Public,4 Year,8912,6758,15670,20675,43500,78000,29,272,339,7,52,286,5129,6114,,0.47%,4.45%,5.54%,0.11%,0.85%,4.68%,83.89%,,,,,,
Erskine College,South Carolina,SC,Private,Private,4 Year,10900,34560,45460,34560,43500,78000,3,125,22,0,6,0,597,753,,0.40%,16.60%,2.92%,0.00%,0.80%,0.00%,79.28%,,,,,,
Fairfield University,Connecticut,CT,Private,Private,4 Year,14710,48350,63060,48350,62300,116900,3,137,352,5,113,67,4446,5123,,0.06%,2.67%,6.87%,0.10%,2.21%,1.31%,86.79%,,,,,,
Fairmont State University,West Virginia,WV,Public,Public,4 Year,9004,7514,16518,16324,42900,74100,15,214,76,3,18,96,3613,4035,,0.37%,5.30%,1.88%,0.07%,0.45%,2.38%,89.54%,,,,,,
Faulkner University,Alabama,AL,Private,Private,4 Year,7750,21690,29440,21690,39400,71300,24,1505,71,3,19,52,1661,3335,,0.72%,45.13%,2.13%,0.09%,0.57%,1.56%,49.81%,,,,,,
Felician University,New Jersey,NJ,Private,Private,4 Year,12880,34315,47195,34315,53200,98200,10,382,486,11,134,12,918,1953,,0.51%,19.56%,24.88%,0.56%,6.86%,0.61%,47.00%,,,,,,
Ferris State University,Michigan,MI,Public,Public,4 Year,9894,12630,22524,12630,50000,89300,78,1013,556,7,207,443,12296,14600,,0.53%,6.94%,3.81%,0.05%,1.42%,3.03%,84.22%,,,,,,
Ferrum College,Virginia,VA,Private,Private,4 Year,11500,34175,45675,34175,43000,80600,6,436,77,3,8,69,852,1451,,0.41%,30.05%,5.31%,0.21%,0.55%,4.76%,58.72%,,,,,,
Fisk University,Tennessee,TN,Private,Private,4 Year,10790,21480,32270,21480,45300,83600,0,653,18,1,6,12,82,772,,0.00%,84.59%,2.33%,0.13%,0.78%,1.55%,10.62%,,,,,,
Florida Atlantic University,Florida,FL,Public,Public,4 Year,11896,6039,17935,21595,49400,91200,57,5678,7255,36,1318,924,15029,30297,,0.19%,18.74%,23.95%,0.12%,4.35%,3.05%,49.61%,,,,,,
Florida Institute of Technology,Florida,FL,Private,Private,4 Year,12880,41850,54730,41850,58300,105400,28,533,359,17,174,97,5185,6393,,0.44%,8.34%,5.62%,0.27%,2.72%,1.52%,81.10%,,,,,,
Florida International University,Florida,FL,Public,Public,4 Year,10882,6558,17440,18956,49600,90100,42,5977,31211,57,1434,1042,9847,49610,,0.08%,12.05%,62.91%,0.11%,2.89%,2.10%,19.85%,,,,,,
Florida State University,Florida,FL,Public,Public,4 Year,10816,6516,17332,21683,50800,92700,116,3377,6594,59,1029,1063,28988,41226,,0.28%,8.19%,15.99%,0.14%,2.50%,2.58%,70.31%,,,,,,
Fordham University,New York,NY,Private,Private,4 Year,17969,52687,70656,52687,58700,112500,18,959,1879,15,1164,420,10776,15231,,0.12%,6.30%,12.34%,0.10%,7.64%,2.76%,70.75%,,,,,,
Fort Hays State University,Kansas,KS,Public,Public,4 Year,8300,5133,13433,15201,45100,79300,56,514,877,15,130,281,11952,13825,,0.41%,3.72%,6.34%,0.11%,0.94%,2.03%,86.45%,,,,,,
Fort Lewis College,Colorado,CO,Public,Public,4 Year,9878,9040,18918,19696,48300,82600,887,31,388,8,24,227,2226,3791,,23.40%,0.82%,10.23%,0.21%,0.63%,5.99%,58.72%,,,,,,
Francis Marion University,South Carolina,SC,Public,Public,4 Year,7948,11160,19108,21544,42900,77600,11,1778,56,2,47,38,2012,3944,,0.28%,45.08%,1.42%,0.05%,1.19%,0.96%,51.01%,,,,,,
Franklin Pierce University,New Hampshire,NH,Private,Private,4 Year,13345,36900,50245,36900,47800,85600,10,81,40,3,36,63,2042,2275,,0.44%,3.56%,1.76%,0.13%,1.58%,2.77%,89.76%,,,,,,
Freed-Hardeman University,Tennessee,TN,Private,Private,4 Year,8260,21950,30210,21950,43700,78200,4,230,38,0,10,28,1557,1867,,0.21%,12.32%,2.04%,0.00%,0.54%,1.50%,83.40%,,,,,,
Friends University,Kansas,KS,Private,Private,4 Year,7972,28415,36387,28415,44700,76500,25,204,68,7,51,118,1409,1882,,1.33%,10.84%,3.61%,0.37%,2.71%,6.27%,74.87%,,,,,,
Frostburg State University,Maryland,MD,Public,Public,4 Year,10202,9172,19374,22892,49600,87000,6,1466,244,5,99,223,3602,5645,,0.11%,25.97%,4.32%,0.09%,1.75%,3.95%,63.81%,,,,,,
George Fox University,Oregon,OR,Private,Private,4 Year,11250,36020,47270,36020,51200,89600,24,68,263,19,133,172,3107,3786,,0.63%,1.80%,6.95%,0.50%,3.51%,4.54%,82.07%,,,,,,
George Mason University,Virginia,VA,Public,Public,4 Year,11460,12462,23922,35922,58900,105700,72,3153,3420,122,5001,1209,20752,33729,,0.21%,9.35%,10.14%,0.36%,14.83%,3.58%,61.53%,,,,,,
Georgetown College,Kentucky,KY,Private,Private,4 Year,9780,38650,48430,38650,45000,81900,3,105,38,0,11,34,1071,1262,,0.24%,8.32%,3.01%,0.00%,0.87%,2.69%,84.87%,,,,,,
Georgia Southern University,Georgia,GA,Public,Public,4 Year,10070,7422,17492,20904,49000,88000,89,5249,1235,22,280,383,13259,20517,,0.43%,25.58%,6.02%,0.11%,1.36%,1.87%,64.62%,,,,,,
Georgia State University,Georgia,GA,Public,Public,4 Year,11378,10858,22236,29432,50600,90800,62,11875,2651,27,3386,1335,13220,32556,,0.19%,36.48%,8.14%,0.08%,10.40%,4.10%,40.61%,,,,,,
Gettysburg College,Pennsylvania,PA,Private,Private,4 Year,13010,54480,67490,54480,58400,109300,1,87,113,0,45,70,2131,2447,,0.04%,3.56%,4.62%,0.00%,1.84%,2.86%,87.09%,,,,,,
Goddard College,Vermont,VT,Private,Private,4 Year,1698,16586,18284,16586,42700,76900,2,19,24,2,10,9,472,538,,0.37%,3.53%,4.46%,0.37%,1.86%,1.67%,87.73%,,,,,,
Goldey-Beacom College,Delaware,DE,Private,Private,4 Year,6400,24300,30700,24300,49800,86900,4,215,28,0,55,26,1684,2012,,0.20%,10.69%,1.39%,0.00%,2.73%,1.29%,83.70%,,,,,,
Gonzaga University,Washington,WA,Private,Private,4 Year,11944,43210,55154,43210,57800,107600,57,119,561,27,289,307,5992,7352,,0.78%,1.62%,7.63%,0.37%,3.93%,4.18%,81.50%,,,,,,
Goucher College,Maryland,MD,Private,Private,4 Year,14506,44300,58806,44300,49400,90600,5,218,137,1,55,62,1642,2120,,0.24%,10.28%,6.46%,0.05%,2.59%,2.92%,77.45%,,,,,,
Grambling State University,Louisiana,LA,Public,Public,4 Year,7192,7435,14627,16458,43100,73100,13,4088,41,2,10,56,294,4504,,0.29%,90.76%,0.91%,0.04%,0.22%,1.24%,6.53%,,,,,,
Green Mountain College,Vermont,VT,Private,Private,4 Year,11722,37002,48724,37002,42000,75200,8,34,28,0,7,9,747,833,,0.96%,4.08%,3.36%,0.00%,0.84%,1.08%,89.68%,,,,,,
Grinnell College,Iowa,IA,Private,Private,4 Year,12810,52392,65202,52392,53400,96500,3,100,134,0,128,74,1295,1734,,0.17%,5.77%,7.73%,0.00%,7.38%,4.27%,74.68%,,,,,,
Gustavus Adolphus College,Minnesota,MN,Private,Private,4 Year,9910,45400,55310,45400,51200,96800,2,46,81,1,97,86,2144,2457,,0.08%,1.87%,3.30%,0.04%,3.95%,3.50%,87.26%,,,,,,
Hamline University,Minnesota,MN,Private,Private,4 Year,10358,41298,51656,41298,48100,90400,25,190,180,5,180,131,3758,4469,,0.56%,4.25%,4.03%,0.11%,4.03%,2.93%,84.09%,,,,,,
Hampden-Sydney College,Virginia,VA,Private,Private,4 Year,13558,45746,59304,45746,58300,108600,5,85,23,0,20,60,912,1105,,0.45%,7.69%,2.08%,0.00%,1.81%,5.43%,82.53%,,,,,,
Hampton University,Virginia,VA,Private,Private,4 Year,11778,26702,38480,26702,52700,92600,6,3921,50,0,71,1,344,4393,,0.14%,89.26%,1.14%,0.00%,1.62%,0.02%,7.83%,,,,,,
Hanover College,Indiana,IN,Private,Private,4 Year,11580,37670,49250,37670,47500,85100,7,55,26,0,16,21,1020,1145,,0.61%,4.80%,2.27%,0.00%,1.40%,1.83%,89.08%,,,,,,
Harding University,Arkansas,AR,Private,Private,4 Year,7044,20135,27179,20135,49200,88600,46,303,158,1,86,87,5378,6059,,0.76%,5.00%,2.61%,0.02%,1.42%,1.44%,88.76%,,,,,,
Harvey Mudd College,California,CA,Private,Private,4 Year,18127,56876,75003,56876,88800,158200,4,13,80,0,167,50,490,804,,0.50%,1.62%,9.95%,0.00%,20.77%,6.22%,60.95%,,,,,,
Hastings College,Nebraska,NE,Private,Private,4 Year,9700,30050,39750,30050,48600,87100,6,41,67,4,16,33,1045,1212,,0.50%,3.38%,5.53%,0.33%,1.32%,2.72%,86.22%,,,,,,
Haverford College,Pennsylvania,PA,Private,Private,4 Year,16402,54592,70994,54592,59300,112300,4,69,102,0,100,70,849,1194,,0.34%,5.78%,8.54%,0.00%,8.38%,5.86%,71.11%,,,,,,
Hawaii Pacific University,Hawaii,HI,Private,Private,4 Year,14800,25980,40780,25980,52200,93500,24,345,764,128,921,987,2658,5827,,0.41%,5.92%,13.11%,2.20%,15.81%,16.94%,45.62%,,,,,,
Henderson State University,Arkansas,AR,Public,Public,4 Year,7504,8436,15940,10086,42900,79800,7,846,147,0,23,152,2452,3627,,0.19%,23.33%,4.05%,0.00%,0.63%,4.19%,67.60%,,,,,,
Hendrix College,Arkansas,AR,Private,Private,4 Year,12284,45790,58074,45790,48100,90300,22,65,65,1,77,9,1119,1358,,1.62%,4.79%,4.79%,0.07%,5.67%,0.66%,82.40%,,,,,,
High Point University,North Carolina,NC,Private,Private,4 Year,14130,35118,49248,35118,48600,84300,21,246,173,0,61,167,3731,4399,,0.48%,5.59%,3.93%,0.00%,1.39%,3.80%,84.81%,,,,,,
Hofstra University,New York,NY,Private,Private,4 Year,15948,46760,62708,46760,57300,110400,31,909,1254,78,893,198,7590,10953,,0.28%,8.30%,11.45%,0.71%,8.15%,1.81%,69.30%,,,,,,
Holy Cross College,Indiana,IN,Private,Private,4 Year,11500,30820,42320,30820,48100,87800,2,49,56,1,8,18,386,520,,0.38%,9.42%,10.77%,0.19%,1.54%,3.46%,74.23%,,,,,,
Hood College,Maryland,MD,Private,Private,4 Year,12700,39492,52192,39492,47900,82600,1,255,138,0,78,73,1820,2365,,0.04%,10.78%,5.84%,0.00%,3.30%,3.09%,76.96%,,,,,,
Hope College,Michigan,MI,Private,Private,4 Year,10310,34010,44320,34010,49200,90900,3,85,258,0,54,67,2988,3455,,0.09%,2.46%,7.47%,0.00%,1.56%,1.94%,86.48%,,,,,,
Huntingdon College,Alabama,AL,Private,Private,4 Year,9750,27400,37150,27400,42400,78900,14,229,29,2,9,30,847,1160,,1.21%,19.74%,2.50%,0.17%,0.78%,2.59%,73.02%,,,,,,
Husson University,Maine,ME,Private,Private,4 Year,9830,18180,28010,18180,43300,77600,16,147,46,7,73,39,3087,3415,,0.47%,4.30%,1.35%,0.20%,2.14%,1.14%,90.40%,,,,,,
Idaho State University,Idaho,ID,Public,Public,4 Year,7207,7420,14627,22940,50800,91800,141,156,1122,28,179,311,11492,13429,,1.05%,1.16%,8.36%,0.21%,1.33%,2.32%,85.58%,,,,,,
Illinois Institute of Technology,Illinois,IL,Private,Private,4 Year,12762,47296,60058,47296,64600,118500,12,292,600,13,497,72,6412,7898,,0.15%,3.70%,7.60%,0.16%,6.29%,0.91%,81.19%,,,,,,
Illinois State University,Illinois,IL,Public,Public,4 Year,9850,14516,24366,26040,51200,95000,24,1454,1711,18,434,478,16496,20615,,0.12%,7.05%,8.30%,0.09%,2.11%,2.32%,80.02%,,,,,,
Illinois Wesleyan University,Illinois,IL,Private,Private,4 Year,10984,47636,58620,47636,53100,96000,5,87,128,1,82,43,1547,1893,,0.26%,4.60%,6.76%,0.05%,4.33%,2.27%,81.72%,,,,,,
Indiana State University,Indiana,IN,Public,Public,4 Year,10590,9090,19680,19836,47900,85600,36,2199,395,8,179,374,9992,13183,,0.27%,16.68%,3.00%,0.06%,1.36%,2.84%,75.79%,,,,,,
Iowa State University,Iowa,IA,Public,Public,4 Year,8720,8988,17708,23392,56100,101300,80,891,1451,31,940,672,30370,34435,,0.23%,2.59%,4.21%,0.09%,2.73%,1.95%,88.20%,,,,,,
Jackson State University,Mississippi,MS,Public,Public,4 Year,9552,8226,17778,19454,41700,74600,39,8491,38,1,43,96,800,9508,,0.41%,89.30%,0.40%,0.01%,0.45%,1.01%,8.41%,,,,,,
Jacksonville State University,Alabama,AL,Public,Public,4 Year,8100,10425,18525,20145,43800,80000,61,2030,110,7,50,0,6401,8659,,0.70%,23.44%,1.27%,0.08%,0.58%,0.00%,73.92%,,,,,,
Jacksonville University,Florida,FL,Private,Private,4 Year,14080,36670,50750,36670,50100,90400,14,607,277,8,70,113,2996,4085,,0.34%,14.86%,6.78%,0.20%,1.71%,2.77%,73.34%,,,,,,
James Madison University,Virginia,VA,Public,Public,4 Year,10092,12016,22108,28416,57400,102600,31,863,1043,39,889,709,17281,20855,,0.15%,4.14%,5.00%,0.19%,4.26%,3.40%,82.86%,,,,,,
Jefferson College of Health Sciences,Virginia,VA,Private,Private,4 Year,5870,26886,32756,26886,55500,97600,1,82,40,0,28,14,966,1131,,0.09%,7.25%,3.54%,0.00%,2.48%,1.24%,85.41%,,,,,,
John Brown University,Arkansas,AR,Private,Private,4 Year,9224,26928,36152,26928,47000,82700,51,108,152,3,34,103,2399,2850,,1.79%,3.79%,5.33%,0.11%,1.19%,3.61%,84.18%,,,,,,
John Carroll University,Ohio,OH,Private,Private,4 Year,11874,41340,53214,41340,51600,97300,2,186,110,0,62,77,3251,3688,,0.05%,5.04%,2.98%,0.00%,1.68%,2.09%,88.15%,,,,,,
Johns Hopkins University,Maryland,MD,Private,Private,4 Year,15836,54240,70076,54240,67200,117100,35,1419,1498,27,2919,690,14784,21372,,0.16%,6.64%,7.01%,0.13%,13.66%,3.23%,69.17%,,,,,,
Kalamazoo College,Michigan,MI,Private,Private,4 Year,9756,48516,58272,48516,51600,94500,2,76,135,3,86,70,1089,1461,,0.14%,5.20%,9.24%,0.21%,5.89%,4.79%,74.54%,,,,,,
Kansas State University,Kansas,KS,Public,Public,4 Year,9680,10263,19943,25767,52500,97200,94,954,1419,36,381,695,21187,24766,,0.38%,3.85%,5.73%,0.15%,1.54%,2.81%,85.55%,,,,,,
Kansas Wesleyan University,Kansas,KS,Private,Private,4 Year,9500,29500,39000,29500,44700,79400,4,43,89,2,8,14,550,710,,0.56%,6.06%,12.54%,0.28%,1.13%,1.97%,77.46%,,,,,,
Kean University,New Jersey,NJ,Public,Public,4 Year,14470,12348,26818,19383,48200,90000,19,2802,3443,48,802,244,7001,14359,,0.13%,19.51%,23.98%,0.33%,5.59%,1.70%,48.76%,,,,,,
Keene State College,New Hampshire,NH,Public,Public,4 Year,11026,14212,25238,23176,48900,83600,14,48,156,2,56,97,4584,4957,,0.28%,0.97%,3.15%,0.04%,1.13%,1.96%,92.48%,,,,,,
Kennesaw State University,Georgia,GA,Public,Public,4 Year,11467,7432,18899,21158,52500,94600,60,4845,1862,39,861,1018,17029,25714,,0.23%,18.84%,7.24%,0.15%,3.35%,3.96%,66.22%,,,,,,
Kentucky Christian University,Kentucky,KY,Private,Private,4 Year,8270,19820,28090,19820,39600,70300,2,56,8,0,4,7,581,658,,0.30%,8.51%,1.22%,0.00%,0.61%,1.06%,88.30%,,,,,,
Kentucky State University,Kentucky,KY,Public,Public,4 Year,6690,8090,14780,19390,40700,73100,3,1007,33,4,10,40,798,1895,,0.16%,53.14%,1.74%,0.21%,0.53%,2.11%,42.11%,,,,,,
Kentucky Wesleyan College,Kentucky,KY,Private,Private,4 Year,9764,26440,36204,26440,42100,76800,1,102,12,0,3,0,591,709,,0.14%,14.39%,1.69%,0.00%,0.42%,0.00%,83.36%,,,,,,
Kenyon College,Ohio,OH,Private,Private,4 Year,12510,55930,68440,55930,55000,103800,9,58,100,0,87,59,1349,1662,,0.54%,3.49%,6.02%,0.00%,5.23%,3.55%,81.17%,,,,,,
Kettering College,Ohio,OH,Private,Private,4 Year,4100,16200,20300,16200,54300,95800,2,35,25,1,35,15,647,760,,0.26%,4.61%,3.29%,0.13%,4.61%,1.97%,85.13%,,,,,,
Kettering University,Michigan,MI,Private,Private,4 Year,8240,43490,51730,43490,69900,125000,4,91,71,2,61,48,1802,2079,,0.19%,4.38%,3.42%,0.10%,2.93%,2.31%,86.68%,,,,,,
Knox College,Illinois,IL,Private,Private,4 Year,9870,46554,56424,46554,50600,95400,3,110,175,0,77,56,978,1399,,0.21%,7.86%,12.51%,0.00%,5.50%,4.00%,69.91%,,,,,,
La Salle University,Pennsylvania,PA,Private,Private,4 Year,15080,30560,45640,30560,55800,104800,16,1078,462,7,286,349,4044,6242,,0.26%,17.27%,7.40%,0.11%,4.58%,5.59%,64.79%,,,,,,
Lafayette College,Pennsylvania,PA,Private,Private,4 Year,15640,52880,68520,52880,66500,122500,3,118,166,1,81,53,2081,2503,,0.12%,4.71%,6.63%,0.04%,3.24%,2.12%,83.14%,,,,,,
Lake Forest College,Illinois,IL,Private,Private,4 Year,10390,47064,57454,47064,55400,102600,4,108,243,0,81,57,1133,1626,,0.25%,6.64%,14.94%,0.00%,4.98%,3.51%,69.68%,,,,,,
Lake Superior State University,Michigan,MI,Public,Public,4 Year,9882,12090,21972,12090,45900,83500,208,80,58,0,13,0,2048,2407,,8.64%,3.32%,2.41%,0.00%,0.54%,0.00%,85.09%,,,,,,
Lamar University,Texas,TX,Public,Public,4 Year,8920,10192,19112,22642,53300,101200,55,3532,2070,10,478,258,8492,14895,,0.37%,23.71%,13.90%,0.07%,3.21%,1.73%,57.01%,,,,,,
Lander University,South Carolina,SC,Public,Public,4 Year,9100,11700,20800,21300,42600,77100,4,858,36,2,42,55,1790,2787,,0.14%,30.79%,1.29%,0.07%,1.51%,1.97%,64.23%,,,,,,
Langston University,Oklahoma,OK,Public,Public,4 Year,9476,5950,15426,13300,46500,81500,37,1969,31,0,0,0,445,2482,,1.49%,79.33%,1.25%,0.00%,0.00%,0.00%,17.93%,,,,,,
Lawrence Technological University,Michigan,MI,Private,Private,4 Year,9950,33570,43520,33570,57900,108400,13,234,100,1,925,0,2742,4015,,0.32%,5.83%,2.49%,0.02%,23.04%,0.00%,68.29%,,,,,,
Lawrence University,Wisconsin,WI,Private,Private,4 Year,10341,47475,57816,47475,51500,98800,8,51,100,0,60,59,1233,1511,,0.53%,3.38%,6.62%,0.00%,3.97%,3.90%,81.60%,,,,,,
Lehigh University,Pennsylvania,PA,Private,Private,4 Year,13600,52930,66530,52930,69500,134100,7,239,475,1,479,139,5779,7119,,0.10%,3.36%,6.67%,0.01%,6.73%,1.95%,81.18%,,,,,,
Lenoir-Rhyne University,North Carolina,NC,Private,Private,4 Year,12510,36400,48910,36400,46400,86300,12,266,60,1,30,52,1629,2050,,0.59%,12.98%,2.93%,0.05%,1.46%,2.54%,79.46%,,,,,,
LeTourneau University,Texas,TX,Private,Private,4 Year,9970,30210,40180,30210,56600,98900,10,278,227,2,28,99,2023,2667,,0.37%,10.42%,8.51%,0.07%,1.05%,3.71%,75.85%,,,,,,
Lewis & Clark College,Oregon,OR,Private,Private,4 Year,12490,50934,63424,50934,50000,93200,55,74,287,10,226,28,2824,3504,,1.57%,2.11%,8.19%,0.29%,6.45%,0.80%,80.59%,,,,,,
Lewis University,Illinois,IL,Private,Private,4 Year,10578,32450,43028,32450,49700,89800,8,610,1043,14,204,149,4661,6689,,0.12%,9.12%,15.59%,0.21%,3.05%,2.23%,69.68%,,,,,,
Lewis-Clark State College,Idaho,ID,Public,Public,4 Year,7580,6618,14198,19236,44900,77600,99,33,215,13,39,102,3803,4304,,2.30%,0.77%,5.00%,0.30%,0.91%,2.37%,88.36%,,,,,,
Limestone College,South Carolina,SC,Private,Private,4 Year,9765,26000,35765,26000,42100,76500,9,1521,92,1,11,13,1567,3214,,0.28%,47.32%,2.86%,0.03%,0.34%,0.40%,48.76%,,,,,,
Lindenwood University,Missouri,MO,Private,Private,4 Year,9000,17600,26600,17600,45100,78500,46,2019,374,21,58,307,9326,12151,,0.38%,16.62%,3.08%,0.17%,0.48%,2.53%,76.75%,,,,,,
Lindsey Wilson College,Kentucky,KY,Private,Private,4 Year,9385,24850,34235,24850,35300,64100,12,253,26,1,17,33,2299,2641,,0.45%,9.58%,0.98%,0.04%,0.64%,1.25%,87.05%,,,,,,
Lipscomb University,Tennessee,TN,Private,Private,4 Year,12652,32144,44796,32144,49000,84800,4,371,225,4,119,66,3700,4489,,0.09%,8.26%,5.01%,0.09%,2.65%,1.47%,82.42%,,,,,,
Longwood University,Virginia,VA,Public,Public,4 Year,11746,13340,25086,29300,47300,83300,15,415,229,6,73,164,4194,5096,,0.29%,8.14%,4.49%,0.12%,1.43%,3.22%,82.30%,,,,,,
Loras College,Iowa,IA,Private,Private,4 Year,8275,34184,42459,34184,48000,90100,1,39,89,2,13,22,1403,1569,,0.06%,2.49%,5.67%,0.13%,0.83%,1.40%,89.42%,,,,,,
Louisiana College,Louisiana,LA,Private,Private,4 Year,5618,17000,22618,17000,44800,79800,10,280,40,1,12,12,901,1256,,0.80%,22.29%,3.18%,0.08%,0.96%,0.96%,71.74%,,,,,,
Louisiana Tech University,Louisiana,LA,Public,Public,4 Year,6495,9645,16140,18558,53100,100700,43,1441,123,16,131,190,9281,11225,,0.38%,12.84%,1.10%,0.14%,1.17%,1.69%,82.68%,,,,,,
Loyola Marymount University,California,CA,Private,Private,4 Year,14490,48522,63012,48522,58500,113300,18,585,2190,8,1054,616,5044,9515,,0.19%,6.15%,23.02%,0.08%,11.08%,6.47%,53.01%,,,,,,
